SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,90.55,92.35,90.4,90.7,90.6,91.5,23088,2097234.6,28-APR-2012,211,INE144J01019,
3IINFOTECH,EQ,14.1,14.25,14.05,14.2,14.2,14.1,118180,1672842.65,28-APR-2012,269,INE748C01020,
A2ZMES,EQ,97.8,98.6,97.1,97.7,98,97.35,10177,992445.75,28-APR-2012,196,INE619I01012,
AANJANEYA,EQ,590,592.9,575,579.7,576.05,590.75,17006,9891777.95,28-APR-2012,243,INE928K01013,
AARTIDRUGS,EQ,117.25,117.25,114,116.9,116.9,115.25,111,13000.3,28-APR-2012,12,INE767A01016,
AARTIIND,EQ,70,70.1,68.9,68.95,69,69.3,667,46035.15,28-APR-2012,12,INE769A01020,
ABAN,EQ,406.85,411.2,405,408.5,410.95,406.85,67888,27673375.65,28-APR-2012,1530,INE421A01028,
ABB,EQ,807,810,807,808.2,807.5,809,1663,1343767.3,28-APR-2012,98,INE117A01022,
ABBOTINDIA,EQ,1654,1657.9,1619,1633.75,1621,1647.3,297,486727.9,28-APR-2012,44,INE358A01014,
ABCIL,EQ,82.45,82.45,81.95,81.95,81.95,81.05,51,4179.95,28-APR-2012,2,INE605B01016,
ABGSHIP,EQ,378,385,378,383.9,384.8,379.7,7483,2870740.75,28-APR-2012,163,INE067H01016,
ABIRLANUVO,EQ,926.6,937.95,926.05,931.05,930,929.7,5428,5051252.45,28-APR-2012,351,INE069A01017,
ACC,EQ,1199.95,1207.5,1195.15,1205.3,1207,1195.05,19593,23570298.6,28-APR-2012,972,INE012A01025,
ACE,EQ,34.9,34.9,33.4,33.75,33.5,34.7,20100,685620.45,28-APR-2012,169,INE731H01025,
ACROPETAL,EQ,13.5,13.55,12.9,13.05,13.1,13.45,27734,364048.75,28-APR-2012,135,INE055L01013,
ADANIENT,EQ,275,277.15,274.15,276.35,277,275.4,67366,18593592.55,28-APR-2012,1427,INE423A01024,
ADANIPORTS,EQ,126.35,127,125,125.95,126.25,126.35,19218,2415857.05,28-APR-2012,366,INE742F01042,
ADANIPOWER,EQ,63.3,63.85,62.55,63.6,63.8,62.85,192082,12176130.7,28-APR-2012,1501,INE814H01011,
ADFFOODS,EQ,48.4,48.45,46.6,48.2,48,46.9,287,13840.85,28-APR-2012,11,INE982B01019,
ADHUNIK,EQ,44,44.05,43.15,43.6,43.55,43.65,5506,240632.85,28-APR-2012,70,INE400H01019,
ADORWELD,EQ,140,140,136.5,139.6,139.7,139.95,2670,370636.95,28-APR-2012,79,INE045A01017,
ADSL,EQ,25.7,26.35,25.5,26.2,26.35,25.9,6374,166484.1,28-APR-2012,46,INE102I01027,
ADVANTA,EQ,443,449.5,433,444.55,448.5,441.25,14708,6515597.25,28-APR-2012,649,INE517H01010,
AEGISCHEM,EQ,151.8,151.9,151.8,151.9,151.9,153.9,35,5316,28-APR-2012,3,INE208C01017,
AFL,EQ,35,35,35,35,35,35.8,300,10500,28-APR-2012,1,INE020G01017,
AFTEK,EQ,10.45,10.7,10.45,10.55,10.6,10.45,8850,93534.75,28-APR-2012,64,INE796A01023,
AGRODUTCH,EQ,4.55,4.7,4.55,4.65,4.7,4.55,1421,6491.9,28-APR-2012,12,INE135B01014,
AHLUCONT,EQ,62,62,60.05,60.75,60.35,63,317,19120.65,28-APR-2012,14,INE758C01029,
AHMEDFORGE,EQ,166.4,166.4,160.6,162.85,160.6,161.9,735,119694,28-APR-2012,47,INE425A01011,
AJANTPHARM,EQ,587,587,566.1,570.3,569,583,19474,11125831.35,28-APR-2012,905,INE031B01015,
AJMERA,EQ,112.25,113.4,112.25,112.85,112.6,112.9,276,31116,28-APR-2012,8,INE298G01027,
AKSHOPTFBR,BE,18.1,18.1,17.6,17.8,17.6,17.8,18312,326723.8,28-APR-2012,79,INE523B01011,
AKZOINDIA,EQ,831,835,821.1,821.35,829,827.8,1862,1529831,28-APR-2012,23,INE133A01011,
ALBK,EQ,161.8,165.4,161.4,164.45,165,160.6,182765,29868895.95,28-APR-2012,2094,INE428A01015,
ALCHEM,EQ,68.8,68.8,62.65,65.05,66.85,62.7,454,29299.1,28-APR-2012,14,INE964B01033,
ALEMBICLTD,EQ,17,17.1,16.75,16.9,17.1,16.9,6319,106793.5,28-APR-2012,42,INE426A01027,
ALKALI,EQ,29.95,29.95,29.95,29.95,29.95,29.1,501,15004.95,28-APR-2012,3,INE773I01017,
ALKYLAMINE,EQ,95.95,95.95,95.95,95.95,95.95,93.5,20,1919,28-APR-2012,1,INE150B01013,
ALLCARGO,EQ,125.65,125.65,122.55,122.55,122.75,119.45,202,24904.8,28-APR-2012,11,INE418H01029,
ALMONDZ,EQ,9.6,10.65,9.4,9.9,10.25,9.3,3208,31410.5,28-APR-2012,50,INE326B01027,
ALOKTEXT,EQ,19.25,19.45,19.2,19.3,19.3,19.2,195548,3770968.55,28-APR-2012,491,INE270A01011,
ALPA,EQ,9.25,9.25,8.3,8.5,8.4,8.9,406,3751.15,28-APR-2012,8,INE385I01010,
ALPHAGEO,EQ,56.9,56.9,56.9,56.9,56.9,55.95,20,1138,28-APR-2012,2,INE137C01018,
ALPSINDUS,EQ,2,2.1,2,2.1,2.1,1.95,500,1008.2,28-APR-2012,2,INE093B01015,
ALSTOMT&D,EQ,162,162,159,160,159.55,161.5,6385,1022750.35,28-APR-2012,180,INE200A01026,
AMAR,EQ,153.55,153.55,151,151.5,152.45,151.4,4086,619103.05,28-APR-2012,27,INE787G01011,
AMARAJABAT,EQ,292.25,294.95,290.2,294.4,294.7,292.65,1949,571877.5,28-APR-2012,53,INE885A01024,
AMBIKCO,EQ,150,152,150,150.95,152,151.7,67,10114,28-APR-2012,2,INE540G01014,
AMBUJACEM,EQ,149.9,149.9,148,149.15,149.5,148.7,65444,9736509.6,28-APR-2012,1031,INE079A01024,
AMDIND,EQ,15,15,14.5,14.5,14.5,14.8,7,104.5,28-APR-2012,3,INE005I01014,
AMLSTEEL,EQ,10.25,10.25,10.25,10.25,10.25,10.75,12,123,28-APR-2012,1,INE577F01018,
AMRUTANJAN,EQ,773.25,779.8,772,775.9,776.85,772.8,1910,1480712.05,28-APR-2012,120,INE098F01015,
AMTEKAUTO,EQ,131.9,131.9,126.3,126.65,126.6,126,2871,364023.25,28-APR-2012,72,INE130C01021,
AMTEKINDIA,EQ,105.5,105.5,103.1,104.4,103.95,104.7,24931,2604099.1,28-APR-2012,242,INE068D01021,
