SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,30.3,30.35,30.2,30.2,30.2,30.55,21252,642732.4,22-MAR-2014,205,INE144J01027,
3IINFOTECH,EQ,7.05,7.3,7,7.25,7.3,7.25,68440,492404.75,22-MAR-2014,119,INE748C01020,
3MINDIA,EQ,3555,3635,3555,3560,3560,3568.6,105,377489.95,22-MAR-2014,8,INE470A01017,
A2ZMES,EQ,9.9,10.15,9.9,10,9.95,10.05,29938,300549.5,22-MAR-2014,118,INE619I01012,
AARTIDRUGS,EQ,256,266.95,256,264.2,266,260.65,2261,594323.8,22-MAR-2014,56,INE767A01016,
AARTIIND,EQ,127.05,128.4,125.1,126.25,126.3,127.55,5631,712237.75,22-MAR-2014,166,INE769A01020,
ABAN,EQ,492.25,512.9,491.25,505.55,506.1,484.8,1833055,928010990.9,22-MAR-2014,38141,INE421A01028,
ABB,EQ,787.25,792,779,781.3,781,785.4,27474,21543272.9,22-MAR-2014,1396,INE117A01022,
ABBOTINDIA,EQ,1700,1725,1700,1721.7,1725,1704.05,1417,2433950.75,22-MAR-2014,105,INE358A01014,
ABCIL,EQ,157.45,157.45,150,153.9,154.7,152.55,23830,3671526.6,22-MAR-2014,744,INE605B01016,
ABGSHIP,EQ,255.3,256.65,252.8,253.2,253,255.3,32854,8349961.95,22-MAR-2014,692,INE067H01016,
ABIRLANUVO,EQ,1040,1046.85,1039,1041.7,1042.9,1038.15,7376,7685867.4,22-MAR-2014,573,INE069A01017,
ACC,EQ,1268.9,1268.9,1256.85,1263.9,1263.8,1270.15,15874,20037051.7,22-MAR-2014,970,INE012A01025,
ACCELYA,EQ,760.15,762.8,745.05,750.5,752.75,755.05,2023,1523624.45,22-MAR-2014,284,INE793A01012,
ACE,EQ,14.7,14.7,13.2,14.2,14.2,14.25,23841,333748.55,22-MAR-2014,208,INE731H01025,
ACROPETAL,EQ,4,4.4,4,4.2,4.1,4.2,2107,9146.8,22-MAR-2014,11,INE055L01013,
ADANIENT,EQ,327.2,327.35,324.1,325,324.5,326.05,227753,74122773.6,22-MAR-2014,3492,INE423A01024,
ADANIPORTS,EQ,182.95,182.95,181,181.6,181.8,181.7,84234,15307666.45,22-MAR-2014,1296,INE742F01042,
ADANIPOWER,EQ,41.45,41.45,41.15,41.25,41.3,41.2,349130,14430205.75,22-MAR-2014,1240,INE814H01011,
ADFFOODS,EQ,42.3,42.3,40.9,41.35,41.2,41.8,1481,61511.4,22-MAR-2014,56,INE982B01019,
ADHUNIK,EQ,42,46.7,42,45,45.65,41.6,134488,5935181.5,22-MAR-2014,870,INE400H01019,
ADORWELD,EQ,136,136,134.85,135.15,134.85,134.9,626,84696.3,22-MAR-2014,44,INE045A01017,
ADSL,EQ,12.7,13.05,12.7,12.95,13,12.85,2273,29418.1,22-MAR-2014,12,INE102I01027,
ADVANTA,EQ,115.85,123.7,115.85,121.7,121.15,117.4,67352,8203093.3,22-MAR-2014,1375,INE517H01028,
AEGISCHEM,EQ,156,160.85,152.8,156,156.75,156.95,54650,8661935.25,22-MAR-2014,847,INE208C01017,
AFL,EQ,44.5,45.65,44.5,45.55,45.5,43.45,415,18899.75,22-MAR-2014,5,INE020G01017,
AFTEK,EQ,3.05,3.3,3.05,3.3,3.3,3.15,22363,72854.65,22-MAR-2014,35,INE796A01023,
AGCNET,EQ,51.85,51.85,48.05,49.65,49,49.15,2009,99911.6,22-MAR-2014,46,INE676A01019,
AGRODUTCH,EQ,1.35,1.4,1.35,1.4,1.4,1.35,483,668.7,22-MAR-2014,2,INE135B01014,
AHLEAST,EQ,131.2,136,131.2,136,136,134.9,65,8624,22-MAR-2014,2,INE926K01017,
AHLUCONT,EQ,40.1,41.4,39.5,40.25,39.55,40.45,9459,382512.8,22-MAR-2014,89,INE758C01029,
AHLWEST,EQ,95.05,100.95,95.05,95.35,95.3,99,100,9634.1,22-MAR-2014,10,INE915K01010,
AHMEDFORGE,EQ,124,125,122.15,122.85,123,123.7,5017,618366.1,22-MAR-2014,160,INE425A01011,
AIAENG,EQ,559.15,565.85,552.95,555.6,556.5,555.95,1418,789838.7,22-MAR-2014,120,INE212H01026,
AIL,EQ,386.7,386.7,378,380.45,381,381.9,5501,2094764.4,22-MAR-2014,400,INE878A01011,
AJANTPHARM,EQ,1002,1007.8,995,996.95,996,1003,2641,2640696.55,22-MAR-2014,171,INE031B01031,
AJMERA,EQ,48.5,48.7,48.1,48.25,48.6,48.75,1340,64722.15,22-MAR-2014,318,INE298G01027,
AKSHOPTFBR,BE,16.1,17.2,16,16.4,16.4,16.5,34129,568489,22-MAR-2014,39,INE523B01011,
AKZOINDIA,EQ,846.75,865,842.3,858.75,862,851.15,2432,2087439.1,22-MAR-2014,423,INE133A01011,
ALBK,EQ,81,81.5,80.75,81.4,81.45,81.15,163033,13251687.1,22-MAR-2014,1536,INE428A01015,
ALCHEM,EQ,42.3,42.3,40.25,40.6,40.5,39.95,57,2378,22-MAR-2014,19,INE964B01033,
ALEMBICLTD,EQ,15.9,16,15.55,15.6,15.8,15.7,214251,3352636.3,22-MAR-2014,236,INE426A01027,
ALICON,EQ,86.3,88.5,85,87.75,87,84.55,699,61049.55,22-MAR-2014,23,INE062D01024,
ALKALI,EQ,15.7,15.9,15.35,15.9,15.9,15.75,255,3967.5,22-MAR-2014,19,INE773I01017,
ALKYLAMINE,EQ,242,242,242,242,242,243,50,12100,22-MAR-2014,1,INE150B01013,
ALLCARGO,EQ,154.95,154.95,150,150.25,150,151.4,359,54185.9,22-MAR-2014,21,INE418H01029,
ALLSEC,EQ,28.5,31,28.5,31,31,29.9,3054,94531.1,22-MAR-2014,23,INE835G01018,
ALOKTEXT,EQ,6.1,6.1,5.95,6,6,6.05,668537,4018431.7,22-MAR-2014,706,INE270A01011,
ALPA,BE,11.4,11.45,11.4,11.45,11.4,11.1,1520,17378.5,22-MAR-2014,4,INE385I01010,
ALPHAGEO,BE,166,175,166,173,172.9,172.7,1336,228422.85,22-MAR-2014,65,INE137C01018,
ALSTOMT&D,EQ,219.65,222,218.35,220.95,221.3,217.8,5976,1320213.3,22-MAR-2014,224,INE200A01026,
AMARAJABAT,EQ,366,367.85,364.05,364.55,364.55,364.35,9062,3310278.35,22-MAR-2014,288,INE885A01032,
AMARJOTHI,EQ,69.8,69.8,69.65,69.65,69.65,70,3,209.1,22-MAR-2014,3,INE484D01012,
AMBIKCO,EQ,281,290,281,290,290,289.15,22,6362,22-MAR-2014,4,INE540G01014,
AMBUJACEM,EQ,184,184.9,183.1,184.45,184.75,184.5,59855,11020681,22-MAR-2014,928,INE079A01024,
AMDIND,EQ,12.35,12.35,12.3,12.3,12.35,11.8,20,246.5,22-MAR-2014,3,INE005I01014,
AMRUTANJAN,EQ,129,129,126.55,127.4,127.4,128.1,2233,284744.8,22-MAR-2014,57,INE098F01023,
AMTEKAUTO,EQ,140.5,141.6,138.65,140.1,140.6,139.9,112990,15813268.15,22-MAR-2014,1173,INE130C01021,
AMTEKINDIA,EQ,83.4,83.4,80,81.2,81,82.15,46093,3767603.55,22-MAR-2014,613,INE068D01021,
ANANTRAJ,EQ,54.9,54.9,54.3,54.5,54.35,54.65,60621,3307975.35,22-MAR-2014,483,INE242C01024,
ANDHRABANK,EQ,58.6,58.85,57.9,58.25,58.4,58.4,181773,10606369.8,22-MAR-2014,924,INE434A01013,
ANDHRACEMT,EQ,5.9,5.95,5,5.2,5.35,5.2,25247,129056.55,22-MAR-2014,18,INE666E01012,
ANDHRSUGAR,EQ,97.25,98.45,97.25,97.7,97.5,97.4,2018,196937.7,22-MAR-2014,164,INE715B01013,
ANSALAPI,EQ,17.9,18.2,17.9,18.05,18.2,18,7910,142650.15,22-MAR-2014,52,INE436A01026,
ANSALHSG,EQ,17,17.6,17,17.6,17.6,17.1,290,4990.9,22-MAR-2014,6,INE880B01015,
ANTGRAPHIC,EQ,0.1,0.1,0.1,0.1,0.1,0.15,13000,1300,22-MAR-2014,2,INE414B01021,
APARINDS,EQ,129.8,131.15,129.25,131.05,131.15,128.3,7406,968605.2,22-MAR-2014,139,INE372A01015,
APCOTEXIND,EQ,111,112.45,110.8,111.65,112.45,111.55,327,36413.65,22-MAR-2014,12,INE116A01024,
APLAPOLLO,EQ,177.5,189.75,177.5,185.05,189,181.65,2006,369353.95,22-MAR-2014,35,INE702C01019,
APLLTD,EQ,299.2,299.2,293,295.45,295.6,296.65,33707,9971198.1,22-MAR-2014,950,INE901L01018,
APOLLOHOSP,EQ,901,908,900.2,902.75,903.25,898,16101,14542709.8,22-MAR-2014,761,INE437A01024,
APOLLOTYRE,EQ,144,145.75,142.7,145.4,145.75,143.55,1342545,194692712.05,22-MAR-2014,7996,INE438A01022,
APTECHT,EQ,72,72.55,71.05,71.5,71.5,71.75,25812,1849226.45,22-MAR-2014,220,INE266F01018,
ARCHIDPLY,BE,9.6,9.6,9.6,9.6,9.6,10.1,10,96,22-MAR-2014,1,INE877I01016,
ARCHIES,EQ,16,16,15.75,15.8,15.75,16,7510,119253.4,22-MAR-2014,35,INE731A01020,
ARIES,EQ,56.75,56.8,55.9,56,56,56.3,539,30201.05,22-MAR-2014,21,INE298I01015,
ARSHIYA,EQ,14.2,14.2,12.65,13.55,13.4,13.25,13131,176018.75,22-MAR-2014,42,INE968D01022,
ARSSINFRA,EQ,20.75,20.95,20.3,20.65,20.75,20.75,14218,293503.15,22-MAR-2014,138,INE267I01010,
ARVIND,EQ,148.4,149.2,147.5,147.95,147.6,148.1,97615,14482061.15,22-MAR-2014,1076,INE034A01011,
ARVINDREM,EQ,44.65,45.25,44.1,44.3,44.25,44.6,28189,1260898.35,22-MAR-2014,74,INE211C01037,
ASAHIINDIA,EQ,54.1,54.7,54,54.05,54,54,2747,148595.5,22-MAR-2014,26,INE439A01020,
ASAHISONG,EQ,77,78,75.8,76.35,76.1,76.6,2481,189543.5,22-MAR-2014,107,INE228I01012,
ASAL,EQ,34.9,38.35,34.9,38.2,38.35,34.9,4217,159916.55,22-MAR-2014,57,INE900C01027,
