SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,87,87.5,85.3,86.05,86.1,84.95,29129,2505700.35,03-MAR-2012,301,INE144J01019,
3IINFOTECH,EQ,17.2,17.25,17.05,17.1,17.1,17.15,112603,1928689.15,03-MAR-2012,350,INE748C01020,
3MINDIA,EQ,3700,3848.7,3700,3840.1,3848.7,3800,7,26740.5,03-MAR-2012,3,INE470A01017,
A2ZMES,EQ,121.3,121.5,119.2,120.25,120.5,120.75,10926,1313973.2,03-MAR-2012,315,INE619I01012,
AANJANEYA,EQ,528.5,539.4,528.35,532.65,535.05,538.95,495,263832.4,03-MAR-2012,43,INE928K01013,
AARTIDRUGS,EQ,100,100,93,93.75,93.15,94.9,616,57771.8,03-MAR-2012,23,INE767A01016,
AARTIIND,EQ,59.6,59.6,58.05,59.25,59,58.75,22365,1324455.05,03-MAR-2012,63,INE769A01020,
AARVEEDEN,EQ,37.75,37.75,37.75,37.75,37.75,36.2,200,7550,03-MAR-2012,4,INE273D01019,
ABAN,EQ,484.8,484.8,478,479.65,479,482.2,56029,26928752.8,03-MAR-2012,1533,INE421A01028,
ABB,EQ,825.95,835,815.55,819.7,816.25,822.75,6131,5039084.7,03-MAR-2012,378,INE117A01022,
ABBOTINDIA,EQ,1520,1550,1510,1527.4,1525,1508.4,1812,2777703,03-MAR-2012,221,INE358A01014,
ABCIL,EQ,85,86,85,86,86,84,98,8427,03-MAR-2012,5,INE605B01016,
ABGSHIP,EQ,404.6,409,401.05,406.85,408.45,403.2,19077,7746097.7,03-MAR-2012,466,INE067H01016,
ABHISHEK,EQ,8.1,8.1,8.1,8.1,8.1,7.85,10,81,03-MAR-2012,1,INE004I01017,
ABIRLANUVO,EQ,877.85,881,871.4,876.25,874.5,874.05,5336,4671521,03-MAR-2012,248,INE069A01017,
ACC,EQ,1330.55,1336.5,1319,1323.55,1326.5,1338.45,12907,17130539.45,03-MAR-2012,613,INE012A01025,
ACE,EQ,33.8,34.75,33.8,34.3,34.2,34.15,3746,128561.9,03-MAR-2012,44,INE731H01025,
ACROPETAL,EQ,14.65,14.9,14.65,14.85,14.75,14.7,12192,180399.25,03-MAR-2012,39,INE055L01013,
ADANIENT,EQ,353.5,362.8,352.85,359,359.55,353.2,216489,77660409.9,03-MAR-2012,4799,INE423A01024,
ADANIPORTS,EQ,147.6,147.75,145.4,146.15,145.6,147.35,22092,3235358.45,03-MAR-2012,417,INE742F01042,
