SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,30.5,32,30.5,30.75,30.8,30.65,48871,1505942.35,11-MAY-2013,53,INE144J01027,
3IINFOTECH,EQ,5.9,6.3,5.9,6.2,6.3,5.95,166058,1021693.95,11-MAY-2013,234,INE748C01020,
3MINDIA,EQ,3680,3680,3610,3610.7,3610,3678,5,18192.1,11-MAY-2013,4,INE470A01017,
A2ZMES,BE,20.55,20.55,19.8,20.05,20.2,19.6,19838,398036,11-MAY-2013,87,INE619I01012,
AANJANEYA,EQ,75,75.7,74.1,74.7,74.9,74.05,12646,946658.65,11-MAY-2013,261,INE928K01013,
AARTIDRUGS,EQ,186,186,181,183.15,183.95,183.45,1348,246533.6,11-MAY-2013,68,INE767A01016,
AARTIIND,EQ,88,90.45,88,89.65,89.75,90.65,449,40471.75,11-MAY-2013,21,INE769A01020,
ABAN,EQ,327.1,332.35,326.05,330.3,329.5,327.35,123405,40710433.6,11-MAY-2013,3728,INE421A01028,
ABB,EQ,520.5,530.85,520.5,526.6,530,528.65,1718,901904.15,11-MAY-2013,127,INE117A01022,
ABBOTINDIA,EQ,1451,1460,1451,1455,1455,1460.3,274,397721.25,11-MAY-2013,9,INE358A01014,
ABCIL,EQ,80.4,83.3,80.4,81.15,81,82.65,206,16764.3,11-MAY-2013,17,INE605B01016,
ABGSHIP,EQ,317.7,319.45,317.15,318.4,317.15,319.4,277,88021.3,11-MAY-2013,25,INE067H01016,
ABIRLANUVO,EQ,1071.4,1083.05,1071.4,1081.4,1077.25,1078.05,7036,7596591.3,11-MAY-2013,373,INE069A01017,
ACC,EQ,1243.5,1247.5,1235.35,1239.05,1240,1242.6,8593,10659427.15,11-MAY-2013,443,INE012A01025,
ACCELYA,EQ,516,525,504,519.35,518,510.25,16731,8690932.75,11-MAY-2013,914,INE793A01012,
ACE,EQ,15.4,15.45,14.7,15,15.15,14.95,151445,2282722.05,11-MAY-2013,619,INE731H01025,
ACROPETAL,EQ,6.85,6.9,6.1,6.6,6.65,6.6,10832,70776.5,11-MAY-2013,86,INE055L01013,
ADANIENT,EQ,226.7,226.9,225.4,226.3,226.3,226.7,49199,11134513.85,11-MAY-2013,719,INE423A01024,
ADANIPORTS,EQ,151.7,151.85,150.3,151.1,151.4,150.95,29097,4390012.5,11-MAY-2013,427,INE742F01042,
ADANIPOWER,EQ,48.85,48.85,48.3,48.45,48.5,48.65,92356,4478398.95,11-MAY-2013,485,INE814H01011,
ADFFOODS,EQ,54.6,54.6,51.55,52.1,52.95,52,431,22442.95,11-MAY-2013,31,INE982B01019,
ADHUNIK,EQ,28.45,30.5,28.45,29.65,29.85,29.4,4707,139795.55,11-MAY-2013,44,INE400H01019,
ADORWELD,EQ,119.9,119.9,116.1,117,116.1,118.55,319,37356.55,11-MAY-2013,14,INE045A01017,
ADSL,BE,10.8,10.8,10.3,10.3,10.3,10.8,1395,14873.5,11-MAY-2013,7,INE102I01027,
ADVANTA,EQ,779,779,770.15,770.85,770.15,768.45,319,246358.95,11-MAY-2013,50,INE517H01010,
AEGISCHEM,EQ,148,148,145.15,146.3,147,147.65,1242,182627.25,11-MAY-2013,80,INE208C01017,
AFL,EQ,26.85,27.4,26.5,27,26.9,26.8,1334,35514,11-MAY-2013,51,INE020G01017,
AFTEK,EQ,5.35,5.4,5.15,5.2,5.15,5.2,4460,23377.2,11-MAY-2013,18,INE796A01023,
AGCNET,EQ,98.7,98.7,88.55,89.55,91,91.5,9048,828271.35,11-MAY-2013,316,INE676A01019,
AGRODUTCH,EQ,2.5,2.5,2.5,2.5,2.5,2.6,1050,2625,11-MAY-2013,2,INE135B01014,
AHLWEST,EQ,109,109,109,109,109,109,85,9265,11-MAY-2013,2,INE915K01010,
AHMEDFORGE,EQ,101.4,104.5,101.4,104.15,103.5,103.25,739,76656.6,11-MAY-2013,25,INE425A01011,
AIAENG,EQ,301.55,301.55,293,293.85,293.1,294.45,385,114079.45,11-MAY-2013,47,INE212H01026,
AIL,EQ,343.1,347,343,343.9,343.2,345.2,870,299219.05,11-MAY-2013,28,INE878A01011,
AJANTPHARM,EQ,917,927,917,921.1,922,918,19400,17875174.3,11-MAY-2013,1074,INE031B01031,
