SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN,
20MICRONS,EQ,119.5,119.75,118.4,118.8,119,119.15,18610,2216310.5,08-SEP-2012,406,INE144J01019,
3IINFOTECH,BE,7.75,7.75,7.6,7.7,7.65,7.65,139365,1073423.9,08-SEP-2012,230,INE748C01020,
3MINDIA,EQ,4049.95,4090,4049.95,4074.75,4070,4046.55,9,36672.9,08-SEP-2012,8,INE470A01017,
A2ZMES,EQ,59,59.7,58.8,59.25,59.3,59.15,69916,4142117.1,08-SEP-2012,607,INE619I01012,
AANJANEYA,EQ,665,666,652,663.35,666,659.45,6255,4145491.9,08-SEP-2012,221,INE928K01013,
AARTIDRUGS,EQ,151.3,153,150.25,152.6,153,149.9,11331,1725020.85,08-SEP-2012,174,INE767A01016,
AARTIIND,EQ,75.4,77.5,74.25,76,77,74.45,21199,1612081.1,08-SEP-2012,234,INE769A01020,
AARVEEDEN,EQ,37.7,37.7,37,37.1,37,37.25,950,35225,08-SEP-2012,5,INE273D01019,
ABAN,EQ,426.95,433,423,423.95,423.5,423.1,67849,28787174.6,08-SEP-2012,1588,INE421A01028,
ABB,EQ,733,734.9,728,731.25,728,731.85,1445,1058072.6,08-SEP-2012,139,INE117A01022,
ABBOTINDIA,EQ,1599.7,1599.7,1575.05,1593.4,1594,1586,41,65191.2,08-SEP-2012,13,INE358A01014,
ABCIL,EQ,80.5,80.5,80,80.4,80.4,79.95,408,32809.2,08-SEP-2012,6,INE605B01016,
ABGSHIP,EQ,342.9,342.9,338.05,339.35,339.2,341.65,819,278148.7,08-SEP-2012,63,INE067H01016,
ABIRLANUVO,EQ,771.8,773.95,769,771.3,771.15,768.2,2792,2154894.6,08-SEP-2012,149,INE069A01017,
ACC,EQ,1335.5,1346.9,1335.5,1342.2,1345,1341.15,8842,11866338.45,08-SEP-2012,401,INE012A01025,
ACCELYA,BE,174,185.25,174,185.25,185.25,176.45,14543,2674152.9,08-SEP-2012,189,INE793A01012,
ACE,EQ,18.75,20.5,18.75,19.65,20.2,18,116358,2259172.75,08-SEP-2012,581,INE731H01025,
ACROPETAL,EQ,16.45,16.7,16.35,16.45,16.45,16.35,43728,720468.05,08-SEP-2012,285,INE055L01013,
ADANIENT,EQ,155,156.85,153.05,155.3,156,155.15,265233,41217903.35,08-SEP-2012,3837,INE423A01024,
ADANIPORTS,EQ,112.85,113.3,111.8,112.7,113,112.95,50338,5664201.2,08-SEP-2012,897,INE742F01042,
ADANIPOWER,EQ,41.65,42,40.9,41.05,41.15,42.05,370555,15234257.9,08-SEP-2012,2190,INE814H01011,
ADFFOODS,EQ,49.85,49.85,48.5,48.5,48.65,47.5,102,4948.5,08-SEP-2012,3,INE982B01019,
ADHUNIK,EQ,25.4,25.4,24.85,25.05,25.15,25.1,5827,145948.95,08-SEP-2012,80,INE400H01019,
ADORWELD,EQ,127.85,127.85,126.5,127.25,126.5,126,175,22272.5,08-SEP-2012,3,INE045A01017,
ADSL,EQ,21.9,22.75,21.9,22.4,22,21.85,6478,144432.35,08-SEP-2012,55,INE102I01027,
ADVANIHOTR,EQ,25,25.5,25,25.5,25.5,25.15,1100,27550,08-SEP-2012,2,INE199C01026,
ADVANTA,EQ,609.9,614,592.65,597.15,593.2,607.8,19833,11998185.05,08-SEP-2012,551,INE517H01010,
AEGISCHEM,EQ,116.25,116.25,114.05,115.85,116.1,117.35,1134,130840.25,08-SEP-2012,84,INE208C01017,
AFL,EQ,32.15,32.4,32.05,32.3,32.4,32.35,181,5808.9,08-SEP-2012,6,INE020G01017,
AFTEK,EQ,7.5,7.5,7,7.25,7.4,7.1,53580,382406.8,08-SEP-2012,96,INE796A01023,
AGCNET,EQ,410,433,410,422.45,420.65,408.5,22038,9382795.5,08-SEP-2012,1161,INE676A01019,
AHLEAST,EQ,225.5,225.65,225.5,225.65,225.65,230,2,451.15,08-SEP-2012,2,INE926K01017,
