Symbol,Report Date,Interest,Profit before tax,Net Profit,EPS
ABIRLANUVO,01-Mar-15,1798,2325,1491,108.8
ABIRLANUVO,01-Mar-16,2339,2905,2033,144.84
ABMINTLLTD,01-Mar-15,0.23,1.06,1.5,7.65
ABMINTLLTD,01-Mar-16,0.16,1.15,3.18,16.22
ABMINTLLTD,01-Mar-17,0.26,0.93,0.66,0.56
ABMINTLLTD,01-Mar-18,0.14,0.23,-0.27,-0.23
ABMINTLLTD,01-Mar-19,0.5,-2.39,-1.79,-1.52
ABMINTLLTD,01-Mar-20,0.34,-2.62,-4.8,-4.08
ABMINTLLTD,01-Mar-21,0.08,11.87,10.16,8.64
ABMINTLLTD,01-Mar-22,0.32,2.27,1.37,1.46
ACC,01-Dec-10,58,1415,1078,57.39
ACC,01-Dec-11,97,1505,1301,69.29
ACC,01-Dec-12,115,1441,1059,56.42
ACC,01-Dec-13,114,1214,1095,58.31
ACC,01-Dec-14,83,1120,1162,61.88
ACC,01-Dec-15,65,766,587,31.3
ACC,01-Dec-16,79,885,658,35.06
ACC,01-Dec-17,99,1310,925,49.23
ACC,01-Dec-18,88,1510,1521,80.97
ACC,01-Dec-19,86,2053,1378,73.35
ACC,01-Dec-20,57,1709,1430,76.16
ACC,01-Dec-21,55,2506,1863,99.21
ACCELYA,01-Jun-11,1,24,21,13.19
ACCELYA,01-Jun-12,1,60,41,27.33
ACCELYA,01-Jun-13,1,123,84,56.53
ACCELYA,01-Jun-14,0,129,84,56.23
ACCELYA,01-Jun-15,0,107,67,45.16
ACCELYA,01-Jun-16,1,128,83,55.62
ACCELYA,01-Jun-17,0,150,97,65.15
ACCELYA,01-Jun-18,0,138,89,59.75
ACCELYA,01-Jun-19,0,162,106,71.27
ACCELYA,01-Jun-20,6,120,87,58.16
ACCELYA,01-Jun-21,4,58,42,28.27
ACCELYA,01-Jun-22,3,103,76,51.04
ACCURACY,01-Mar-19,5,12,8,5.35
ACCURACY,01-Mar-20,8,5,4,2.74
ACCURACY,01-Mar-21,6,13,9,5.88
ACCURACY,01-Mar-22,10,27,18,12.04
ACE,01-Mar-11,5,54,40,4.48
ACE,01-Mar-12,7,37,27,3.05
ACE,01-Mar-13,10,10,6,0.75
ACE,01-Mar-14,10,4,3,0.46
ACE,01-Mar-15,13,8,5,0.67
ACE,01-Mar-16,14,15,9,0.85
ACE,01-Mar-17,16,19,14,1.31
ACE,01-Mar-18,14,74,52,4.44
ACE,01-Mar-19,12,84,56,4.78
ACE,01-Mar-20,15,68,52,4.63
ACE,01-Mar-21,12,108,80,7.03
ACE,01-Mar-22,14,137,105,8.82
ACROPETAL,01-Mar-09,8,21,19,
ACROPETAL,01-Mar-10,10,35,36,
ACROPETAL,01-Mar-11,12,36,33,8.6
ACROPETAL,01-Mar-12,14,49,45,11.54
ACROPETAL,01-Mar-13,19,10,3,0.65
ACROPETAL,01-Mar-14,15,-106,-126,-32.39
ACROPETAL,01-Mar-15,20,-218,-210,-53.94
ACRYSIL,01-Mar-11,1,7,5,2.29
ACRYSIL,01-Mar-12,3,2,1,0.73
ACRYSIL,01-Mar-13,4,6,5,2.17
ACRYSIL,01-Mar-14,5,10,8,3.43
ACRYSIL,01-Mar-15,8,13,9,3.75
ACRYSIL,01-Mar-16,9,18,12,4.21
ACRYSIL,01-Mar-17,11,13,8,2.8
ACRYSIL,01-Mar-18,8,17,12,4.61
ACRYSIL,01-Mar-19,12,24,17,6.65
ACRYSIL,01-Mar-20,10,30,23,8.27
ACRYSIL,01-Mar-21,8,54,39,14.65
ACRYSIL,01-Mar-22,11,86,65,24.26
ADANIENT,01-Mar-11,634,3273,2826,22.51
ADANIENT,01-Mar-12,1826,2496,2020,16.72
ADANIENT,01-Mar-13,3492,2005,1218,14.67
ADANIENT,01-Mar-14,5703,1614,2646,20.19
ADANIENT,01-Mar-15,7056,2663,2298,17.71
ADANIENT,01-Mar-16,1357,1056,1000,9.19
ADANIENT,01-Mar-17,1257,1079,925,8.98
ADANIENT,01-Mar-18,1250,487,594,6.89
ADANIENT,01-Mar-19,1625,459,506,6.52
ADANIENT,01-Mar-20,1572,1122,1040,10.35
ADANIENT,01-Mar-21,1377,1086,1046,8.39
ADANIENT,01-Mar-22,2526,952,788,7.06
ADANIPORTS,01-Mar-11,167,1004,916,4.58
ADANIPORTS,01-Mar-12,281,1182,1093,5.5
ADANIPORTS,01-Mar-13,542,1762,1639,8.1
ADANIPORTS,01-Mar-14,977,1978,1741,8.4
ADANIPORTS,01-Mar-15,1175,2501,2324,11.18
ADANIPORTS,01-Mar-16,1124,3119,2856,13.99
ADANIPORTS,01-Mar-17,1116,4179,3902,18.89
ADANIPORTS,01-Mar-18,1579,5234,3690,17.74
ADANIPORTS,01-Mar-19,1385,5126,4045,19.27
ADANIPORTS,01-Mar-20,1951,4244,3785,18.52
ADANIPORTS,01-Mar-21,2255,6292,5049,24.58
ADANIPORTS,01-Mar-22,2541,5541,4795,22.38
ADFFOODS,01-Mar-11,2,16,14,7.12
ADFFOODS,01-Mar-12,2,10,6,3.15
ADFFOODS,01-Mar-13,3,17,14,6.38
ADFFOODS,01-Mar-14,2,7,5,2.57
ADFFOODS,01-Mar-15,1,12,9,4.02
ADFFOODS,01-Mar-16,1,11,7,3
ADFFOODS,01-Mar-17,1,23,15,6.88
ADFFOODS,01-Mar-18,1,32,18,8.52
ADFFOODS,01-Mar-19,1,38,25,12.65
ADFFOODS,01-Mar-20,1,55,43,21.36
ADFFOODS,01-Mar-21,1,67,50,25.01
ADFFOODS,01-Mar-22,2,65,49,22.94
ADHUNIK,01-Mar-07,30,86,77,
ADHUNIK,01-Mar-08,63,97,82,
ADHUNIK,01-Mar-09,130,72,46,
ADHUNIK,01-Mar-10,174,200,137,11.12
ADHUNIK,01-Mar-11,226,269,186,14.92
ADHUNIK,01-Jun-12,414,14,21,1.67
ADHUNIK,01-Jun-13,463,108,79,7.06
ADHUNIK,01-Jun-14,376,42,40,3.27
ADHUNIK,01-Jun-15,453,-732,-484,-39.16
ADHUNIK,01-Mar-16,390,-657,-647,-52.41
ADHUNIK,01-Mar-17,585,-1394,-1480,-119.85
ADL,01-Mar-20,2.99,-1.04,-1.09,-1.99
ADORWELD,01-Mar-13,1,24,17,12.41
ADORWELD,01-Mar-14,2,4,-5,-3.76
ADORWELD,01-Mar-15,1,48,32,23.43
ADORWELD,01-Mar-16,2,32,22,16.47
ADORWELD,01-Mar-17,2,27,18,13.13
ADORWELD,01-Mar-18,6,28,18,13.54
ADORWELD,01-Mar-19,11,36,25,18.05
ADORWELD,01-Mar-20,10,31,26,19.21
ADORWELD,01-Mar-21,8,-14,-10,-7.63
ADORWELD,01-Mar-22,6,58,45,33.21
ADROITINFO,01-Mar-14,0,-0.15,-0.15,-0.09
ADROITINFO,01-Mar-15,0.09,0.57,0.13,0.07
ADROITINFO,01-Mar-16,0.18,1.98,1.99,1.14
ADROITINFO,01-Mar-17,0.35,18.96,15.6,8.63
ADROITINFO,01-Mar-18,0.2,11.22,10.48,5.77
ADROITINFO,01-Mar-19,0.18,-1.09,-1.03,-0.56
ADROITINFO,01-Mar-20,0.25,-31.22,-31.19,-17.07
ADROITINFO,01-Mar-21,0.2,0.03,0,0
ADROITINFO,01-Mar-22,0.18,0.61,0.62,0.34
ADSL,01-Mar-11,9,68,53,11.46
ADSL,01-Mar-12,18,21,10,2.03
ADSL,01-Mar-13,15,3,-2,-1.1
ADSL,01-Mar-14,15,6,9,2
ADSL,01-Mar-15,16,1,0,0
ADSL,01-Mar-16,19,6,4,0.83
ADSL,01-Mar-17,16,5,0,-0.07
ADSL,01-Mar-18,5,19,10,1.99
ADSL,01-Mar-19,10,15,12,2.46
ADSL,01-Mar-20,7,24,19,3.83
ADSL,01-Mar-21,4,24,19,3.8
ADSL,01-Mar-22,3,74,61,11.26
ADVANIHOTR,01-Mar-06,3,11,7,1.22
ADVANIHOTR,01-Mar-07,3,22,15,1.83
ADVANIHOTR,01-Mar-08,3,21,13,2.13
ADVANIHOTR,01-Mar-09,2,-1,-1,-0.06
ADVANIHOTR,01-Mar-10,1,-14,-15,-1.78
ADVANTA,01-Mar-06,3,6,4,7.06
ADVANTA,01-Dec-06,26,62,49,58.75
ADVANTA,01-Dec-07,41,59,44,26.95
ADVANTA,01-Dec-08,43,55,49,
ADVANTA,01-Dec-09,62,17,25,
ADVANTA,01-Dec-10,68,-32,-30,-16.24
ADVANTA,01-Dec-11,83,24,12,7.27
ADVANTA,01-Dec-12,68,68,59,35.12
ADVANTA,01-Dec-13,93,48,44,5.28
ADVANTA,01-Dec-14,120,82,84,9.9
ADVENZYMES,01-Mar-11,3,19,17,1.62
ADVENZYMES,01-Mar-12,12,48,34,3.22
ADVENZYMES,01-Mar-13,10,76,50,4.52
ADVENZYMES,01-Mar-14,13,28,21,1.85
ADVENZYMES,01-Mar-15,9,74,51,4.6
ADVENZYMES,01-Mar-16,8,118,77,6.97
ADVENZYMES,01-Mar-17,4,137,93,8.2
ADVENZYMES,01-Mar-18,9,139,94,8.07
ADVENZYMES,01-Mar-19,5,162,116,9.95
ADVENZYMES,01-Mar-20,4,179,133,11.58
ADVENZYMES,01-Mar-21,3,210,151,13.06
ADVENZYMES,01-Mar-22,3,171,124,10.7
AEGISCHEM,01-Mar-11,11,61,47,1.4
AEGISCHEM,01-Mar-12,42,41,22,0.59
AEGISCHEM,01-Mar-13,60,53,35,1.01
AEGISCHEM,01-Mar-14,18,80,69,1.83
AEGISCHEM,01-Mar-15,20,142,112,3.1
AEGISCHEM,01-Mar-16,18,153,126,3.39
AEGISCHEM,01-Mar-17,16,169,133,3.57
AEGISCHEM,01-Mar-18,15,225,214,5.92
AEGISCHEM,01-Mar-19,26,302,252,6.63
AEGISCHEM,01-Mar-20,33,208,134,2.93
AEGISCHEM,01-Mar-21,17,336,249,6.36
AEGISCHEM,01-Mar-22,22,472,385,10.19
AFFLE,01-Mar-18,1,37,28,2.29
AFFLE,01-Mar-19,1,60,49,4.02
AFFLE,01-Mar-20,1,79,66,5.14
AFFLE,01-Mar-21,4,148,135,10.57
AFFLE,01-Mar-22,7,245,215,16.05
AFTEK,01-Mar-06,1,72,71,
AFTEK,01-Mar-07,1,93,90,10.36
AFTEK,01-Mar-08,1,56,54,5.77
AFTEK,01-Mar-09,3,-6,-9,-0.88
AFTEK,01-Mar-10,5,2,0,-0.03
AFTEK,01-Mar-11,10,14,13,1.33
AFTEK,01-Mar-12,11,20,19,2.2
AFTEK,01-Mar-13,10,-31,-27,-2.43
AFTEK,01-Mar-14,8,-19,-18,-1.67
AFTEK,01-Mar-15,8,-6,-6,-0.58
AFTEK,01-Mar-16,8,-19,-19,-1.75
AFTEK,01-Mar-17,8,-41,-41,-3.7
AGARIND,01-Mar-11,1,2,2,3.74
AGARIND,01-Mar-12,1,3,2,5.67
AGARIND,01-Mar-13,2,5,3,6.19
AGARIND,01-Mar-14,4,6,5,9.25
AGARIND,01-Mar-15,4,8,6,10.67
AGARIND,01-Mar-16,7,10,7,12.46
AGARIND,01-Mar-17,7,14,9,8.82
AGARIND,01-Mar-18,9,15,10,10.02
AGARIND,01-Mar-19,9,20,13,13.11
AGARIND,01-Mar-20,9,31,26,24.91
AGARIND,01-Mar-21,10,49,41,39.51
AGARIND,01-Mar-22,12,78,64,48.22
AGI,01-Mar-08,16,42,27,
AGI,01-Mar-09,17,49,32,
AGI,01-Mar-10,40,57,44,
AGI,01-Mar-11,36,118,78,11.84
AGI,01-Mar-12,42,148,94,14.17
AGI,01-Mar-13,69,124,82,12.43
AGI,01-Mar-14,72,75,34,5.15
AGI,01-Mar-15,78,134,85,11.82
AGI,01-Mar-16,41,174,108,15.01
AGI,01-Mar-17,33,147,100,13.87
AGI,01-Mar-18,56,105,74,10.25
AGI,01-Mar-19,87,107,70,9.69
AGLSL,01-Mar-17,9,33,27,4.1
AGLSL,01-Mar-18,9,35,26,3.97
AGLSL,01-Mar-19,11,37,20,3.1
AGRITECH,01-Mar-19,0,-0.11,-0.6,-1.01
AGRITECH,01-Mar-20,0,-0.33,-0.33,-0.56
AGRITECH,01-Mar-21,0.72,-2.97,-2.98,-5.02
AGSTRA,01-Mar-17,78,-10,-22,-1.79
AGSTRA,01-Mar-18,83,24,6,0.52
AGSTRA,01-Mar-19,137,79,66,5.5
AGSTRA,01-Mar-20,130,120,83,6.89
