Symbol,Report Date,Interest,Profit before tax,Net Profit,EPS
BARBEQUE,01-Mar-20,76,-25,-33,
BARBEQUE,01-Mar-21,85,-112,-92,
BARBEQUE,01-Mar-22,65,-32,-25,-6.58
BARTRONICS,01-Mar-10,45,150,105,30.87
BARTRONICS,01-Mar-11,61,100,110,32.3
BARTRONICS,01-Sep-12,73,-67,-71,-20.96
BARTRONICS,01-Sep-13,51,-122,-77,-22.51
BARTRONICS,01-Mar-15,70,-113,-99,-28.98
BARTRONICS,01-Mar-16,56,-36,-33,-9.83
BARTRONICS,01-Mar-17,52,-51,-51,-14.98
BARTRONICS,01-Mar-18,52,-42,-42,-12.29
BARTRONICS,01-Mar-19,52,-74,-66,-19.48
BARTRONICS,01-Mar-20,52,-47,-51,-15.06
BARTRONICS,01-Mar-21,52,-50,-49,-14.46
BARTRONICS,01-Mar-22,52,-51,-50,-14.77
BASF,01-Mar-06,2,70,45,16.07
BASF,01-Mar-07,3,78,50,17.75
BASF,01-Mar-08,4,91,57,20.38
BASF,01-Mar-09,7,88,49,17.24
BASF,01-Mar-10,2,150,96,23.56
BASF,01-Mar-20,83,10,23,5.28
BASML,01-Mar-13,38,41,27,4.23
BASML,01-Mar-14,38,46,32,4.89
BASML,01-Mar-15,38,20,13,2.05
BASML,01-Mar-16,38,29,20,3.02
BASML,01-Mar-17,44,15,12,1.78
BASML,01-Mar-18,60,11,10,1.36
BASML,01-Mar-19,67,25,24,3.24
BASML,01-Mar-20,72,10,6,0.37
BASML,01-Mar-21,62,-12,-10,-1.7
BASML,01-Mar-22,53,86,56,8.09
BATAINDIA,01-Dec-10,8,136,88,6.88
BATAINDIA,01-Dec-11,10,352,259,20.14
BATAINDIA,01-Dec-12,12,253,172,13.39
BATAINDIA,01-Dec-13,13,283,191,14.86
BATAINDIA,01-Mar-15,18,329,231,18
BATAINDIA,01-Mar-16,16,297,217,16.91
BATAINDIA,01-Mar-17,15,234,159,12.37
BATAINDIA,01-Mar-18,15,337,221,17.16
BATAINDIA,01-Mar-19,14,478,329,25.6
BATAINDIA,01-Mar-20,129,487,329,25.59
BATAINDIA,01-Mar-21,108,-117,-89,-6.95
BATAINDIA,01-Mar-22,99,140,103,8.01
BATLIBOI,01-Mar-11,8,2,3,0.95
BATLIBOI,01-Mar-12,9,0,-1,-0.18
BATLIBOI,01-Mar-13,9,3,2,0.85
BATLIBOI,01-Mar-14,7,-2,-3,-1
BATLIBOI,01-Mar-15,8,-14,-12,-4.19
BATLIBOI,01-Mar-16,9,0,0,-0.05
BATLIBOI,01-Mar-17,8,-17,-14,-4.71
BATLIBOI,01-Mar-18,7,-9,-10,-3.61
BATLIBOI,01-Mar-19,8,-1,13,4.49
BATLIBOI,01-Mar-20,9,-18,-16,-5.53
BATLIBOI,01-Mar-21,9,8,8,2.83
BATLIBOI,01-Mar-22,8,-2,-5,-1.64
BBOX,01-Mar-11,1,19,13,
BBOX,01-Mar-12,8,86,64,
BBOX,01-Mar-13,36,-10,-22,-1.54
BBOX,01-Mar-14,35,-285,-282,-19.83
BBOX,01-Mar-15,26,18,15,1.04
BBOX,01-Mar-16,27,-22,-35,-2.43
BBOX,01-Mar-17,26,13,10,0.73
BBOX,01-Mar-18,25,19,15,1.05
BBOX,01-Mar-19,45,-79,-79,-5.3
BBOX,01-Mar-20,132,-73,-80,-5.38
BBOX,01-Mar-21,98,96,78,4.8
BBOX,01-Mar-22,74,86,73,4.43
BBTC,01-Mar-11,101,275,194,16.85
BBTC,01-Mar-12,78,442,330,32.97
BBTC,01-Mar-13,71,363,260,18.96
BBTC,01-Mar-14,43,579,402,29.68
BBTC,01-Mar-15,41,961,696,51.15
BBTC,01-Mar-16,44,1195,792,55.36
BBTC,01-Mar-17,43,1282,858,60.45
BBTC,01-Mar-18,55,1312,773,39.76
BBTC,01-Mar-19,60,1841,1189,89
BBTC,01-Mar-20,124,1868,1280,85.75
BBTC,01-Mar-21,151,2124,1278,52.96
BBTC,01-Mar-22,252,1514,809,9.09
BCG,01-Mar-11,12,57,50,
BCG,01-Mar-12,28,228,192,
BCG,01-Mar-13,35,60,51,0.51
BCG,01-Mar-14,27,273,221,2.23
BCG,01-Mar-15,23,522,342,3.45
BCG,01-Mar-16,16,594,400,4.03
BCG,01-Mar-17,15,619,429,4.33
BCG,01-Mar-18,15,590,407,4.1
BCG,01-Mar-19,13,609,444,4.47
BCG,01-Mar-20,6,617,440,4.44
BCG,01-Mar-21,0,660,483,4.57
BCG,01-Mar-22,0,1258,912,4.52
BCLIND,01-Mar-17,21,11,10,6.9
BCLIND,01-Mar-18,21,22,18,11.45
BCLIND,01-Mar-19,19,52,41,23.72
BCLIND,01-Mar-20,15,35,26,13.54
BCLIND,01-Mar-21,26,58,42,17.47
BCLIND,01-Mar-22,18,113,85,35.13
BCONCEPTS,01-Mar-21,6,-9,-6,-5.95
BCONCEPTS,01-Mar-22,5,1,1,0.6
BEARDSELL,01-Mar-09,0,1,0,
BEARDSELL,01-Mar-10,0,5,3,
BEARDSELL,01-Mar-15,5,0,0,-0.03
BEARDSELL,01-Mar-16,6,5,3,0.85
BEARDSELL,01-Mar-17,6,10,6,1.49
BEARDSELL,01-Mar-18,6,0,0,0.1
BEARDSELL,01-Mar-19,6,-1,-1,-0.2
BEARDSELL,01-Mar-20,7,1,1,0.22
BEARDSELL,01-Mar-21,5,0,0,-0.11
BEARDSELL,01-Mar-22,5,4,3,0.75
BECREL,01-Mar-06,0,0,0,
BECREL,01-Mar-07,1,38,34,2.66
BECREL,01-Mar-08,1,2,-2,-0.19
BECREL,01-Mar-09,4,36,17,1.4
BECREL,01-Mar-10,12,-16,-19,-1.54
BECREL,01-Mar-11,12,-58,-55,-4.43
BECREL,01-Mar-12,20,-33,-36,-2.9
BECREL,01-Mar-13,16,-33,-32,-2.57
BECTORFOOD,01-Mar-18,7,53,36,6.27
BECTORFOOD,01-Mar-19,13,51,33,5.79
BECTORFOOD,01-Mar-20,16,39,30,5.29
BECTORFOOD,01-Mar-21,10,97,72,12.3
BECTORFOOD,01-Mar-22,7,76,57,9.72
BEDMUTHA,01-Mar-11,10,9,6,1.74
BEDMUTHA,01-Mar-12,12,1,0,-0.58
BEDMUTHA,01-Mar-13,10,4,2,0.33
BEDMUTHA,01-Mar-14,15,2,1,0.52
BEDMUTHA,01-Mar-15,23,-12,-9,-4.12
BEDMUTHA,01-Mar-16,41,-41,-40,-18.93
BEDMUTHA,01-Mar-17,58,-36,-36,-14.69
BEDMUTHA,01-Mar-18,60,-91,-91,-35.4
BEDMUTHA,01-Mar-19,65,-70,-70,-28.74
BEDMUTHA,01-Mar-20,64,-71,-71,-29.03
BEDMUTHA,01-Mar-21,62,197,196,60.75
BEDMUTHA,01-Mar-22,32,9,9,2.91
BEL,01-Mar-11,4,1188,878,1.11
BEL,01-Mar-12,5,1103,847,1.07
BEL,01-Mar-13,7,1147,911,1.15
BEL,01-Mar-14,7,1206,952,1.2
BEL,01-Mar-15,7,1513,1197,1.51
BEL,01-Mar-16,10,1764,1337,1.69
BEL,01-Mar-17,18,1983,1523,2.07
BEL,01-Mar-18,6,1957,1431,1.96
BEL,01-Mar-19,16,2628,1887,2.58
BEL,01-Mar-20,8,2478,1825,2.5
BEL,01-Mar-21,10,2942,2100,2.87
BEL,01-Mar-22,9,3166,2400,3.28
BEML,01-Mar-11,71,184,147,35.31
BEML,01-Mar-12,111,66,57,13.68
BEML,01-Mar-13,162,-125,-83,-20.02
BEML,01-Mar-14,127,10,6,1.47
BEML,01-Mar-15,76,5,6,1.43
BEML,01-Mar-16,56,79,64,15.48
BEML,01-Mar-17,55,98,85,20.38
BEML,01-Mar-18,48,164,130,31.17
BEML,01-Mar-19,60,130,63,15.19
BEML,01-Mar-20,41,19,64,15.35
BEML,01-Mar-21,39,87,69,16.56
BEML,01-Mar-22,65,200,129,30.96
BEPL,01-Mar-15,14,8,5,0.29
BEPL,01-Mar-16,11,23,16,0.98
BEPL,01-Mar-17,10,57,35,2.14
BEPL,01-Mar-18,8,155,100,6.03
BEPL,01-Mar-19,1,78,47,2.85
BEPL,01-Mar-20,0,83,67,4.04
BEPL,01-Mar-21,1,446,334,20.13
BEPL,01-Mar-22,0,473,350,21.1
BERGEPAINT,01-Mar-11,24,216,150,1.55
BERGEPAINT,01-Mar-12,32,254,180,1.86
BERGEPAINT,01-Mar-13,38,308,218,2.25
BERGEPAINT,01-Mar-14,47,350,249,2.57
BERGEPAINT,01-Mar-15,50,404,265,2.73
BERGEPAINT,01-Mar-16,27,559,371,3.82
BERGEPAINT,01-Mar-17,16,703,474,4.88
BERGEPAINT,01-Mar-18,25,705,461,4.75
BERGEPAINT,01-Mar-19,47,765,494,5.09
BERGEPAINT,01-Mar-20,47,883,656,6.77
BERGEPAINT,01-Mar-21,44,979,720,7.41
BERGEPAINT,01-Mar-22,51,1122,833,8.57
BESTAGRO,01-Mar-17,1,0,0,-0.65
BESTAGRO,01-Mar-18,2,0,0,0.03
BESTAGRO,01-Mar-21,5,51,37,16.83
BESTAGRO,01-Mar-22,15,141,105,44.31
BFINVEST,01-Mar-16,2,59,132,35.09
BFINVEST,01-Mar-17,0,63,135,35.92
BFINVEST,01-Mar-18,0,192,160,42.42
BFINVEST,01-Mar-19,0,148,126,33.57
BFINVEST,01-Mar-20,0,230,144,38.31
BFINVEST,01-Mar-21,0,357,267,70.89
BFINVEST,01-Mar-22,0,264,198,52.5
BFUTILITIE,01-Sep-11,204,-195,-207,-27.45
BFUTILITIE,01-Sep-12,179,-112,-116,-12.89
BFUTILITIE,01-Sep-13,203,-105,-109,-12.84
BFUTILITIE,01-Sep-14,240,-110,-111,-13.81
BFUTILITIE,01-Sep-15,231,120,121,16.31
BFUTILITIE,01-Mar-16,194,6,3,0.81
BFUTILITIE,01-Mar-17,222,-23,-29,0.88
BFUTILITIE,01-Mar-18,208,41,36,6.38
BFUTILITIE,01-Mar-19,205,80,72,10.19
BFUTILITIE,01-Mar-20,214,34,27,5.23
BFUTILITIE,01-Mar-21,215,-20,-22,-0.66
BFUTILITIE,01-Mar-22,183,103,93,13.48
BGLOBAL,01-Mar-11,0.75,7,4.78,
BGLOBAL,01-Mar-12,0.32,1.45,1.07,0.68
BGLOBAL,01-Jun-13,0.16,0.97,0.96,0.61
BGLOBAL,01-Mar-14,0.13,1.09,0.79,0.5
BGLOBAL,01-Mar-15,0.41,-0.28,-0.12,-0.08
BGLOBAL,01-Mar-16,0.43,1.27,0.64,0.4
BGLOBAL,01-Mar-17,0.42,1.02,0.88,0.56
BGLOBAL,01-Mar-18,0.47,0.15,0.06,0.04
BGLOBAL,01-Mar-19,0.44,0.53,0.34,0.21
BGLOBAL,01-Mar-20,0.51,-0.77,-0.97,-0.61
BGLOBAL,01-Mar-21,0.12,0.09,0.06,0.04
BGLOBAL,01-Mar-22,0.19,-0.69,-0.69,-0.44
BGRENERGY,01-Mar-11,111,481,323,44.82
BGRENERGY,01-Mar-12,179,328,224,31.07
BGRENERGY,01-Mar-13,179,244,161,22.46
BGRENERGY,01-Mar-14,185,173,90,13.31
BGRENERGY,01-Mar-15,212,-93,-129,-11.07
BGRENERGY,01-Mar-16,301,38,13,2.43
BGRENERGY,01-Mar-17,265,121,85,10.1
BGRENERGY,01-Mar-18,288,37,5,2.27
BGRENERGY,01-Mar-19,271,28,15,2.67
BGRENERGY,01-Mar-20,302,-80,-10,-0.4
BGRENERGY,01-Mar-21,300,-487,-368,-50.51
BGRENERGY,01-Mar-22,325,-244,-186,-25.44
BHAGCHEM,01-Mar-20,5,9,7,6.32
BHAGCHEM,01-Mar-21,8,32,23,22.64
BHAGCHEM,01-Mar-22,9,51,36,34.71
BHAGERIA,01-Mar-20,2,79,66,15.08
BHAGERIA,01-Mar-21,1,81,63,14.36
BHAGERIA,01-Mar-22,2,95,71,16.17
BHAGYANGR,01-Mar-11,2,14,11,1.56
BHAGYANGR,01-Mar-12,31,1,0,0.07
BHAGYANGR,01-Mar-13,7,4,3,0.52
BHAGYANGR,01-Mar-14,8,3,3,0.5
BHAGYANGR,01-Mar-15,8,2,3,0.54
BHAGYANGR,01-Mar-16,8,2,3,0.39
BHAGYANGR,01-Mar-17,6,5,5,1.68
BHAGYANGR,01-Mar-18,4,17,13,3.97
BHAGYANGR,01-Mar-19,8,9,6,1.98
BHAGYANGR,01-Mar-20,10,1,1,0.33
BHAGYANGR,01-Mar-21,8,5,3,1.09
BHAGYANGR,01-Mar-22,12,13,11,3.46
BHAGYAPROP,01-Mar-17,0.02,1.38,1.12,0.35
BHAGYAPROP,01-Mar-18,0.02,0.6,0.5,0.16
BHAGYAPROP,01-Mar-19,0.08,6.69,6.53,2.04
BHAGYAPROP,01-Mar-20,1.81,10.4,9.7,3.03
BHAGYAPROP,01-Mar-21,1.91,1.79,2.12,0.66
BHAGYAPROP,01-Mar-22,1.62,4,3.79,1.18
BHAGYNAGAR,01-Mar-11,2,14,11,1.56
BHAGYNAGAR,01-Mar-12,31,1,0,0.07
BHAGYNAGAR,01-Mar-13,7,4,3,0.52
BHAGYNAGAR,01-Mar-14,8,3,3,0.5
BHAGYNAGAR,01-Mar-15,8,2,3,0.54
BHAGYNAGAR,01-Mar-16,8,2,3,0.39
BHAGYNAGAR,01-Mar-17,6,5,5,1.68
BHAGYNAGAR,01-Mar-18,4,17,13,3.97
BHAGYNAGAR,01-Mar-19,8,9,6,1.98
BHAGYNAGAR,01-Mar-20,10,1,1,0.33
BHAGYNAGAR,01-Mar-21,8,5,3,1.09
BHAGYNAGAR,01-Mar-22,12,13,11,3.46
BHARATFORG,01-Mar-11,153,437,297,6.23
BHARATFORG,01-Mar-12,186,600,420,8.87
BHARATFORG,01-Mar-13,167,355,202,5.32
BHARATFORG,01-Mar-14,169,693,482,10.71
BHARATFORG,01-Mar-15,136,1118,760,16.38
BHARATFORG,01-Mar-16,116,992,675,14.57
BHARATFORG,01-Mar-17,100,960,711,15.13
BHARATFORG,01-Mar-18,107,1196,754,16.38
BHARATFORG,01-Mar-19,127,1599,1033,22.17
BHARATFORG,01-Mar-20,171,462,349,7.51
BHARATFORG,01-Mar-21,108,-25,-127,-2.71
BHARATFORG,01-Mar-22,160,1381,1077,23.23
BHARATIDIL,01-Mar-06,13,78,51,22.68
BHARATIDIL,01-Mar-07,18,111,73,32.54
BHARATIDIL,01-Mar-08,25,164,108,39.04
BHARATIDIL,01-Mar-09,63,196,134,48.42
BHARATIDIL,01-Mar-10,139,199,130,47.11
BHARATIDIL,01-Mar-11,297,158,91,29.2
BHARATIDIL,01-Mar-12,516,-58,-7,-0.09
BHARATIDIL,01-Mar-13,487,-541,-491,-127.93
BHARATIDIL,01-Mar-14,546,-1094,-945,-181.51
BHARATIDIL,01-Mar-15,327,-1041,-987,-193.06
BHARATIDIL,01-Mar-16,359,-2600,-2236,-438.91
BHARATRAS,01-Mar-19,16,155,112,262.48
BHARATRAS,01-Mar-20,16,205,158,371.03
BHARATRAS,01-Mar-21,4,215,164,385.69
BHARATRAS,01-Mar-22,7,234,176,423.51
BHARTIARTL,01-Mar-11,2535,7678,5899,11.01
BHARTIARTL,01-Mar-12,4083,6518,4258,8.15
BHARTIARTL,01-Mar-13,4519,4785,2267,4.32
BHARTIARTL,01-Mar-14,5879,7864,3019,5.04
BHARTIARTL,01-Mar-15,4446,10540,5048,8.41
BHARTIARTL,01-Mar-16,8546,12846,6893,11.05
BHARTIARTL,01-Mar-17,9547,7723,4241,6.91
BHARTIARTL,01-Mar-18,9326,3267,2184,2
BHARTIARTL,01-Mar-19,10622,-1732,1688,0.74
BHARTIARTL,01-Mar-20,14073,-43177,-30664,-55.06
BHARTIARTL,01-Mar-21,15091,-3432,-12364,-25.63
BHARTIARTL,01-Mar-22,16616,12483,8305,7.23
BHEL,01-Mar-11,56,9065,6053,16.49
BHEL,01-Mar-12,53,10367,7087,19.3
BHEL,01-Mar-13,128,9531,6693,18.23
BHEL,01-Mar-14,133,5078,3502,9.54
BHEL,01-Mar-15,92,2187,1450,3.96
BHEL,01-Mar-16,360,-1161,-706,-1.92
BHEL,01-Mar-17,413,586,455,1.25
BHEL,01-Mar-18,330,1215,438,1.2
BHEL,01-Mar-19,378,1840,1002,2.89
BHEL,01-Mar-20,613,-659,-1468,-4.21
BHEL,01-Mar-21,467,-3596,-2700,-7.75
BHEL,01-Mar-22,448,470,445,1.28
BIGBLOC,01-Mar-19,4,-1,-1,-0.2
BIGBLOC,01-Mar-20,4,1,2,0.35
BIGBLOC,01-Mar-21,4,3,2,0.35
BIGBLOC,01-Mar-22,4,18,16,2.27
BIL,01-Mar-11,8,10,6,6.74
BIL,01-Mar-12,10,16,12,10.94
BIL,01-Mar-13,12,14,10,9.17
BIL,01-Mar-14,16,21,15,13.12
BIL,01-Mar-15,13,30,21,18.73
BIL,01-Mar-16,13,32,25,21.09
BIL,01-Mar-17,18,26,18,15.37
BIL,01-Mar-18,23,26,17,14.34
BIL,01-Mar-19,35,29,20,16.23
BIL,01-Mar-20,29,26,21,17.43
BIL,01-Mar-21,28,-6,-6,-5.04
BIL,01-Mar-22,29,-11,-17,-13.54
BILPOWER,01-Mar-07,2.7,23.78,17.4,9.66
BILPOWER,01-Mar-08,6.08,32.14,24.12,11.36
BILPOWER,01-Mar-09,12.17,24.52,17.94,8.4
BILPOWER,01-Mar-10,8.75,21.57,16.56,7.84
BILPOWER,01-Mar-15,0.34,-112.64,-117.67,-56.03
BILPOWER,01-Mar-16,0.37,-3.39,-6.07,-2.89
BILPOWER,01-Mar-17,0.34,8.39,8.44,4.02
BILPOWER,01-Mar-18,0.3,3.17,3.08,1.47
BILPOWER,01-Mar-19,0.29,1.65,1.64,0.78
BIMETAL,01-Mar-16,0,6,4,11.03
BIMETAL,01-Mar-17,0,6,4,10.67
BIMETAL,01-Mar-18,0,14,11,29.15
BIMETAL,01-Mar-19,0,16,11,29.86
BIMETAL,01-Mar-20,0,1,1,2.82
BIMETAL,01-Mar-21,1,4,4,9.99
BIMETAL,01-Mar-22,1,6,4,11.71
BINANICEM,01-Mar-08,46,245,176,8.66
BINANICEM,01-Mar-09,100,195,149,7.24
BINANICEM,01-Mar-10,118,420,292,14.4
BINANICEM,01-Mar-11,139,11,18,0.93
BINANICEM,01-Mar-12,189,-11,-19,-1.01
BINANICEM,01-Mar-13,248,80,47,2.48
BINANICEM,01-Mar-14,313,-345,-253,-13.21
BINANICEM,01-Mar-15,393,-197,-156,-8.04
BINANICEM,01-Mar-16,404,-465,-332,-17.13
BINANICEM,01-Mar-17,476,-449,-370,-19.47
BINANIIND,01-Mar-11,190,-58,-48,-15.35
BINANIIND,01-Mar-12,325,-155,-166,-56.08
BINANIIND,01-Mar-13,462,-173,-208,-70.44
BINANIIND,01-Mar-14,622,-752,-663,-220.66
BINANIIND,01-Mar-15,598,-675,-649,-216.28
BINANIIND,01-Mar-16,643,-557,-432,-140.85
BINANIIND,01-Mar-17,680,-537,-469,-146.95
BINANIIND,01-Mar-18,203,38,23,8.33
BINANIIND,01-Mar-19,179,1258,1090,347.49
BINANIIND,01-Mar-20,213,-1189,-1255,-395.75
BINANIIND,01-Mar-21,5,280,280,93.36
BINANIIND,01-Mar-22,3,178,178,56.89
BINDALAGRO,01-Mar-07,0,98,97,3.79
BINDALAGRO,01-Mar-08,2,276,250,9.73
BINDALAGRO,01-Mar-09,0,27,24,0.93
BINDALAGRO,01-Mar-10,1,-12,-12,-0.46
BINDALAGRO,01-Mar-11,5,104,82,3.2
BINDALAGRO,01-Mar-12,11,101,79,3.08
BINDALAGRO,01-Mar-13,21,3,-1,-0.04
BINDALAGRO,01-Mar-14,21,95,63,2.45
BINDALAGRO,01-Mar-15,3,50,29,1.14
BINDALAGRO,01-Mar-16,0,50,37,1.42
BINDALAGRO,01-Mar-17,0,47,66,2.57
BINDALAGRO,01-Mar-18,0,70,42,1.64
BIOCON,01-Mar-11,23,447,375,3.06
BIOCON,01-Mar-12,12,392,338,2.82
BIOCON,01-Mar-13,8,610,513,4.24
BIOCON,01-Mar-14,2,538,431,3.45
BIOCON,01-Mar-15,9,624,528,4.14
BIOCON,01-Mar-16,29,751,609,4.59
BIOCON,01-Mar-17,26,850,688,5.1
BIOCON,01-Mar-18,62,610,453,3.1
BIOCON,01-Mar-19,71,1215,1003,7.54
BIOCON,01-Mar-20,65,1186,871,6.24
BIOCON,01-Mar-21,58,1068,846,6.17
BIOCON,01-Mar-22,68,983,772,5.4
BIRLACORPN,01-Mar-11,53,438,320,41.58
BIRLACORPN,01-Mar-12,53,346,239,31.09
BIRLACORPN,01-Mar-13,65,351,270,35.1
BIRLACORPN,01-Mar-14,86,152,130,16.86
BIRLACORPN,01-Mar-15,78,213,175,22.76
BIRLACORPN,01-Mar-16,82,201,168,21.78
BIRLACORPN,01-Mar-17,277,230,219,28.5
BIRLACORPN,01-Mar-18,378,160,154,19.99
BIRLACORPN,01-Mar-19,371,317,256,33.2
BIRLACORPN,01-Mar-20,388,682,505,65.6
BIRLACORPN,01-Mar-21,296,713,630,81.83
BIRLACORPN,01-Mar-22,243,538,399,51.76
BIRLACOT,01-Mar-11,31,16,13,0.05
BIRLACOT,01-Mar-12,40,16,9,0.03
BIRLACOT,01-Jun-13,54,-139,-128,-0.48
BIRLACOT,01-Mar-14,36,-56,-56,-0.21
BIRLACOT,01-Mar-15,54,-166,-166,-0.62
BIRLACOT,01-Mar-16,63,-81,-81,-0.3
BIRLACOT,01-Mar-17,73,-91,-91,-0.34
BIRLACOT,01-Mar-18,86,-90,-90,-0.33
BIRLAPOWER,01-Mar-11,23,12,10,0.05
BIRLAPOWER,01-Mar-12,28,19,15,0.07
BIRLAPOWER,01-Mar-13,37,14,9,0.04
BKMINDST,01-Mar-14,5,1,1,31.8
BKMINDST,01-Mar-15,10,3,5,0.81
BKMINDST,01-Mar-16,9,19,19,2.92
BKMINDST,01-Mar-17,10,29,29,4.46
BKMINDST,01-Mar-18,12,13,12,1.84
BKMINDST,01-Mar-19,15,-57,-55,-8.4
BKMINDST,01-Mar-20,5,-34,-29,-4.46
BLBLIMITED,01-Mar-07,0,7,7,1.36
BLBLIMITED,01-Mar-08,1,46,50,9.37
BLBLIMITED,01-Mar-09,1,-13,-10,-1.97
BLBLIMITED,01-Mar-10,2,38,24,4.52
BLBLIMITED,01-Mar-11,6,-31,-18,-3.48
BLBLIMITED,01-Mar-12,1,-6,-4,-0.82
BLBLIMITED,01-Mar-13,2,-2,-2,-0.29
BLBLIMITED,01-Mar-14,3,-3,-2,-0.39
BLBLIMITED,01-Mar-15,3,2,2,0.37
BLBLIMITED,01-Mar-16,5,2,2,0.3
BLBLIMITED,01-Mar-17,6,1,1,0.24
BLBLIMITED,01-Mar-18,5,-6,-5,-0.99
BLISSGVS,01-Mar-11,2,53,41,3.94
BLISSGVS,01-Mar-12,4,79,53,5.09
BLISSGVS,01-Mar-13,10,109,60,5.6
BLISSGVS,01-Mar-14,18,71,41,3.97
BLISSGVS,01-Mar-15,16,96,61,5.81
BLISSGVS,01-Mar-16,19,148,100,8
BLISSGVS,01-Mar-17,20,175,113,7.95
BLISSGVS,01-Mar-18,23,145,89,5.7
BLISSGVS,01-Mar-19,4,182,127,11.99
BLISSGVS,01-Mar-20,8,129,95,9.43
BLISSGVS,01-Mar-21,6,104,74,6.64
BLISSGVS,01-Mar-22,5,54,23,1.45
BLKASHYAP,01-Mar-11,35,75,49,2.38
BLKASHYAP,01-Mar-12,75,-7,-6,-0.27
BLKASHYAP,01-Mar-13,93,12,8,0.41
BLKASHYAP,01-Mar-14,97,-132,-85,-4.14
BLKASHYAP,01-Mar-15,81,-78,-58,-2.82
BLKASHYAP,01-Mar-16,82,-12,-6,-0.29
BLKASHYAP,01-Mar-17,83,-6,5,0.24
BLKASHYAP,01-Mar-18,77,27,21,0.98
BLKASHYAP,01-Mar-19,59,-10,-6,-0.28
BLKASHYAP,01-Mar-20,69,-82,-63,-2.79
BLKASHYAP,01-Mar-21,59,-1,-58,-2.59
BLKASHYAP,01-Mar-22,55,66,44,1.95
BLS,01-Mar-15,2,24,24,0.58
BLS,01-Mar-16,1,31,31,0.75
BLS,01-Mar-17,7,53,50,1.22
BLS,01-Mar-18,13,111,97,2.36
BLS,01-Mar-19,13,122,105,2.57
BLS,01-Mar-20,4,55,52,1.28
BLS,01-Mar-21,2,48,50,1.22
BLS,01-Mar-22,2,114,111,2.72
BLUEBLENDS,01-Mar-12,1.36,-1.69,-1.69,-0.93
BLUEBLENDS,01-Mar-13,6.85,21,21,11.55
BLUEBLENDS,01-Mar-14,9.31,6.5,8.77,4.52
BLUEBLENDS,01-Mar-15,9.13,5.05,5.48,2.82
BLUEBLENDS,01-Mar-16,10.88,9.38,8.68,4.47
BLUEBLENDS,01-Mar-17,11.34,7.02,6.99,3.39
BLUEBLENDS,01-Mar-18,11.82,-34.39,-32.71,-15.11
BLUEBLENDS,01-Mar-19,7.49,-45.11,-45.48,-21.01
BLUEBLENDS,01-Mar-20,8.76,-14.33,-14.33,-6.62
BLUEBLENDS,01-Mar-21,0.02,-9.92,-10.2,-4.71
BLUECOAST,01-Mar-11,26.89,-5.12,-3.21,-3.62
BLUECOAST,01-Mar-12,42.66,-16.63,-10.53,-11.82
BLUECOAST,01-Mar-13,47.22,-14.43,-7.68,-8.6
BLUECOAST,01-Mar-14,45.73,-25.76,-18.26,-20.54
BLUECOAST,01-Mar-15,40.95,-19.8,-19.8,-15.53
BLUECOAST,01-Mar-16,18.39,5.03,5.03,3.95
BLUECOAST,01-Mar-17,28.69,-10.79,-10.18,-7.99
BLUECOAST,01-Mar-18,24.27,-1.66,-1.66,-1.3
BLUECOAST,01-Mar-19,153.7,-193.8,-193.8,-152.02
BLUECOAST,01-Mar-20,4.15,-23.87,-23.86,-18.72
BLUECOAST,01-Mar-21,4.15,-14.29,-14.29,-11.21
BLUECOAST,01-Mar-22,4.15,-4.77,-3.41,-2.67
BLUEDART,01-Dec-10,0,141,95,39.91
BLUEDART,01-Dec-11,0,180,124,52.34
BLUEDART,01-Mar-13,0,274,193,81.46
BLUEDART,01-Mar-14,0,184,123,51.67
BLUEDART,01-Mar-15,11,194,129,54.51
BLUEDART,01-Mar-16,43,296,197,82.95
BLUEDART,01-Mar-17,45,219,140,58.93
BLUEDART,01-Mar-18,40,217,145,60.99
BLUEDART,01-Mar-19,43,134,90,37.83
BLUEDART,01-Mar-20,117,-39,-42,-17.64
BLUEDART,01-Mar-21,111,140,102,42.91
BLUEDART,01-Mar-22,87,512,382,161.08
BLUESTARCO,01-Mar-11,26,231,161,17.9
BLUESTARCO,01-Mar-12,72,-103,-105,-11.69
BLUESTARCO,01-Mar-13,53,41,39,4.34
BLUESTARCO,01-Mar-14,54,76,78,8.62
BLUESTARCO,01-Mar-15,49,43,54,6.02
BLUESTARCO,01-Mar-16,43,132,106,11.65
BLUESTARCO,01-Mar-17,38,159,123,12.88
BLUESTARCO,01-Mar-18,29,196,144,15
BLUESTARCO,01-Mar-19,48,251,190,19.73
BLUESTARCO,01-Mar-20,29,206,144,14.87
BLUESTARCO,01-Mar-21,65,148,101,10.42
BLUESTARCO,01-Mar-22,46,251,168,17.41
BLUESTINFO,01-Mar-06,0,6,4,4.16
BLUESTINFO,01-Mar-07,0,11,9,9.06
BLUESTINFO,01-Mar-08,0,5,5,4.9
BLUESTINFO,01-Mar-09,0,17,16,15.55
BLUESTINFO,01-Mar-10,0,15,14,13.78
BLUESTINFO,01-Mar-11,0,12,8,8.4
BLUESTINFO,01-Mar-12,0,7,4,3.43
BLUESTINFO,01-Mar-13,0,7,5,4.8
BLUESTINFO,01-Mar-14,1,22,16,14.3
BLUESTINFO,01-Mar-15,1,25,18,16.81
BODALCHEM,01-Mar-11,23,25,17,1.67
