Symbol,Series,Face Value,Purpose,From,Ex-date,Multiplier
AVANTIFEED,EQ,1,Bonus 1:2/Face Value Split (Sub-Division) From Rs 2/- Per Share To Re 1/- Per Share,26-Nov-15,26-Jun-18,3
AVTNPL,EQ,1,Face Value Split From Rs 10 To Re 1,31-Dec-10,07-Jun-12,20
AVTNPL,EQ,1,Bonus 1:1,07-Jun-12,26-Sep-13,2
AXISBANK,EQ,2,Face Value Split From Rs 10/- To Rs 2/- Per Share,31-Dec-10,28-Jul-14,5
BAJAJCON,EQ,1,Face Value Split From Rs.5/- To Re.1/-,31-Dec-10,05-May-11,5
BAJAJELEC,EQ,2,Rights 13:118 @ Premium Rs 308/-,31-Dec-10,05-Feb-20,1.025
BAJAJFINSV,EQ,1,Rights 1:10 @ Premium Rs.645/- Per Share,31-Dec-10,06-Sep-12,10.17
BAJAJFINSV,EQ,1,Bonus 1:1,06-Sep-12,13-Sep-22,10
BAJAJHIND,EQ,1,Rights 2:1 @ Premium Rs.35/- Per Share,31-Dec-10,21-Sep-11,1.184
BAJFINANCE,EQ,2,Rights 3:19 @ Premium Rs 1090 Per Share,31-Dec-10,23-Jan-13,10.29
BAJFINANCE,EQ,2,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,23-Jan-13,08-Sep-16,10
BALKRISIND,EQ,2,Bonus 1:1,31-Dec-10,21-Dec-17,2
BALMLAWRIE,EQ,10,Bonus 3:4,31-Dec-10,23-May-13,10.5
BALMLAWRIE,EQ,10,Bonus 3:1,23-May-13,26-Dec-16,6
BALMLAWRIE,EQ,10,Bonus 1:2,26-Dec-16,26-Dec-19,1.5
BANKBARODA,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,22-Jan-15,5
BASML,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,12-Feb-21,3.1
BASML,EQ,5,Rights 21:20@ Premium Rs 25/-,12-Feb-21,08-Sep-21,1.55
BATAINDIA,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,07-Oct-15,2
BBOX,EQ,2,Bonus 1:1,31-Dec-10,19-Dec-12,2
BBTC,EQ,2,Face Value Split From Rs 10 To Rs 2,31-Dec-10,08-Nov-12,5
BCG,EQ,2,Bonus 1:4,31-Dec-10,18-Aug-21,2.083333334
BCG,EQ,2,Bonus 2:3,18-Aug-21,15-Mar-22,1.666666667
BEARDSELL,EQ,2,Bonus 1:5/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,04-May-17,6.42
BEARDSELL,EQ,2,Rights 1:3 @ Premium Rs 8/-,04-May-17,16-Dec-21,1.07
BEL,EQ,1,Bonus 2:1,31-Dec-10,14-Sep-15,99
BEL,EQ,1,Face Value Split From Rs 10/- Per Share To Re 1/- Per Share,14-Sep-15,16-Mar-17,33
BEL,EQ,1,Bonus 1:10,16-Mar-17,28-Sep-17,3.3
BEL,EQ,1,Bonus 2:1,28-Sep-17,15-Sep-22,3
BERGEPAINT,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,31-Dec-10,08-Jan-15,2.8
BERGEPAINT,EQ,1,Bonus 2:5,08-Jan-15,15-Jul-16,1.4
BHAGCHEM,EQ,10,Rights Issue 4:17@ Premium Rs 390/-,31-Dec-10,07-Apr-22,1.141
BHAGERIA,EQ,5,Fv Splt Frm Rs 10 To Rs 5,31-Dec-10,26-Oct-16,4
BHAGERIA,EQ,5,Bonus 1:1,26-Oct-16,17-Jul-19,2
BHARATFORG,EQ,2,Bonus 1:1,31-Dec-10,28-Sep-17,2
BHARATGEAR,EQ,10,Rights 1:7 @ Premium Rs 95 Per Share,31-Dec-10,02-Apr-19,1.63483
