Symbol,Series,Face Value,Purpose,From,Ex-date,Multiplier
GRINDWELL,EQ,5,Bonus 1:1,31-Dec-10,14-Jul-16,2
GRUH,EQ,2,Face Value Split From Rs 10 To Rs 2,31-Dec-10,24-Jul-12,20
GRUH,EQ,2,Bonus Issue 1 : 1,24-Jul-12,09-Jun-14,4
GRUH,EQ,2,Bonus 1:1,09-Jun-14,06-Jun-18,2
GSFC,EQ,2,Face Value Split From Rs 10 To Rs 2,31-Dec-10,20-Sep-12,5
GUJGASLTD,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,15-Jan-19,5
GULFPETRO,EQ,5,Bonus 23:19,31-Dec-10,09-Jul-13,2.210526316
GULPOLY,EQ,1,Fv Splt Frm Rs 5 To Re 1,31-Dec-10,27-Dec-16,5
HARDWYN,EQ,10,Bonus 1:2,31-Dec-10,25-Jul-22,1.5
HATHWAY,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,06-Jan-15,5
HATSUN,EQ,1,Bonus 2:5,31-Dec-10,13-Jul-16,1.90027
HATSUN,EQ,1,Bonus 1:3,13-Jul-16,09-Dec-20,1.35733
HATSUN,EQ,1,Rights 1:30 @ Premium Rs 418/-,09-Dec-20,07-Dec-22,1.018
HAVELLS,EQ,1,Face Value Split From Rs 5/- Per Share To Re 1/- Per Share,31-Dec-10,26-Aug-14,5
HCC,EQ,1,Rights 49:100 @ Premium Rs 9/-,31-Dec-10,20-Nov-18,1.114
HCL-INSYS,EQ,2,Rights 10:21 @ Premium Rs 45/-,31-Dec-10,31-Oct-17,1.007
HCLTECH,EQ,2,Bonus 1 : 1,31-Dec-10,19-Mar-15,4
HCLTECH,EQ,2,Bonus 1:1,19-Mar-15,05-Dec-19,2
HDFCBANK,EQ,1,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,14-Jul-11,10
HDFCBANK,EQ,1,Face Value Split (Sub-Division) - From Rs 2 Per Share To Rs 1 Per Share,14-Jul-11,19-Sep-19,2
HERCULES,EQ,1,Annual General Meeting/Dividend Rs.3.50 Per Share/Bonus 1:1 (Purpose Revised),31-Dec-10,11-Jul-12,2
HERITGFOOD,EQ,5,Bonus 1:1,31-Dec-10,26-Jul-13,7.884
HERITGFOOD,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,26-Jul-13,10-Oct-17,3.942
HERITGFOOD,EQ,5,Rights 1:1 @ Premium Rs 0/-,10-Oct-17,20-Jan-23,1.971
HEXAWARE,EQ,2,Dividend Rs 1.40 Per Share / Bonus 1:1,31-Dec-10,24-Feb-11,2
HGS,EQ,10,Bonus 1:1,31-Dec-10,22-Feb-22,2
HIKAL,EQ,2,Face Value Split (Sub-Division): From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,27-Feb-15,7.5
HIKAL,EQ,2,Bonus 1:2,27-Feb-15,22-Jun-18,1.5
HILTON,EQ,10,Rights 2:5 @ Premium Rs 45/-,31-Dec-10,20-Oct-22,1.063
HINDCOMPOS,EQ,5,Bonus 1:2/Face Value Split (Sub-Division) From Rs 10 Per Share To Rs 5 Per Share,31-Dec-10,25-May-17,3
HINDPETRO,EQ,10,Bonus 2:1,31-Dec-10,14-Sep-16,4.5
HINDPETRO,EQ,10,Bonus 1:2/ Dividend - Rs 1.10 Per Share,14-Sep-16,11-Jul-17,1.5
HINDZINC,EQ,2,Bonus - 1:1 And Face Value Split From Rs. 10 To Rs. 2,31-Dec-10,07-Mar-11,10
HIRECT,EQ,2,Rights 1:10 @ Premium Rs 78/-,31-Dec-10,17-Oct-17,1.032
ICICIBANK,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,04-Dec-14,5.5
ICICIBANK,EQ,2,Annual General Meeting/Dividend - Rs 2.50 Per Share/Bonus 1:10 (Revised),04-Dec-14,20-Jun-17,1.1
ICIL,EQ,2,Fv Splt Frm Rs 10 To Rs 2,31-Dec-10,11-Nov-16,5
IDEA,EQ,10,Rights 87:38 @ Premium Of Rs 2.50 Per Share,31-Dec-10,29-Mar-19,1.655
IEX,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,19-Oct-18,30
IEX,EQ,1,Bonus 2:1,19-Oct-18,03-Dec-21,3
IGARASHI,EQ,10,Bonus 25:202,31-Dec-10,27-Sep-18,1.123762376
IGL,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,09-Nov-17,5
IL&FSTRANS,EQ,10,Rights 27:100 @ Premium Rs.90/- Per Equity Share,31-Dec-10,13-Mar-14,1.073175
IL&FSTRANS,EQ,10,Rights 1:3 @ Premium Rs.80/- Per Share,13-Mar-14,07-Oct-15,1.025
IMFA,EQ,10,Bonus 1:1,31-Dec-10,07-Jan-22,2
IMPAL,EQ,10,Bonus 1:1,31-Dec-10,10-Sep-12,3
IMPAL,EQ,10,Bonus 1:2,10-Sep-12,25-Oct-19,1.5
INDHOTEL,EQ,1,9 Ccds For Every 40 Equity Shares,31-Dec-10,18-Jul-14,1.135792902
INDHOTEL,EQ,1,Rights 1:5 @ Premium Rs 74/-,18-Jul-14,04-Oct-17,1.101108
INDHOTEL,EQ,1,Rights 1:9 @ Premium Rs 149/-,04-Oct-17,11-Nov-21,1.031
INDIANHUME,EQ,2,Bonus 1:1,31-Dec-10,09-Dec-16,2
INDIGRID,IV,100,Rights 1:5@ Premium Rs 10/-,31-Dec-10,26-Mar-21,1.035
INDNIPPON,EQ,5,Bonus 2:5,31-Dec-10,20-Sep-11,2.8
INDNIPPON,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,20-Sep-11,21-Mar-18,2
INDOCO,EQ,2,Bonus 1:2 And Face Value Split From Rs.10 To Rs.2,31-Dec-10,17-May-12,7.5
INDOWIND,EQ,10,Rights 2:5@ Premium Rs 2/-,31-Dec-10,13-Jan-23,1.072
INDTERRAIN,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,21-Dec-15,5
INFIBEAM,EQ,1,Annual General Meeting/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,31-Aug-17,40
INFIBEAM,EQ,1,Bonus 1:1,31-Aug-17,18-Mar-21,4
INFIBEAM,EQ,1,Bonus 1:1,18-Mar-21,14-Mar-22,2
INFINITE,EQ,10,Bonus 1:26,31-Dec-10,01-Nov-17,1.038461538
INFODRIVE,EQ,1,Face Value Split (Sub Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,24-Dec-14,10
INFY,EQ,5,Bonus 1:1,31-Dec-10,02-Dec-14,8
INFY,EQ,5,Annual General Meeting/ Dividend - Rs 29.50/- Per Share And Bonus 1:1,02-Dec-14,15-Jun-15,4
INFY,EQ,5,Bonus 1:1,15-Jun-15,04-Sep-18,2
INSECTICID,EQ,10,Bonus 1:2,31-Dec-10,16-Apr-15,2.25
INSECTICID,EQ,10,Bonus 1:2,16-Apr-15,30-Sep-22,1.5
INTELLECT,EQ,5,Rights 5:22 @ Premium Rs 81/-,31-Dec-10,17-Jul-17,1.067
INVENTURE,EQ,1,Bonus - 3:1,31-Dec-10,22-May-12,40
INVENTURE,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,22-May-12,24-Jun-21,10
IOC,EQ,10,Bonus 1:1,31-Dec-10,18-Oct-16,6
IOC,EQ,10,Bonus 1:1,18-Oct-16,15-Mar-18,3
IOC,EQ,10,Bonus 1:2,15-Mar-18,30-Jun-22,1.5
IRCON,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,03-Apr-20,10
IRCON,EQ,2,Bonus 1:1,03-Apr-20,20-May-21,2
IRCTC,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,28-Oct-21,5
ITC,EQ,1,Bonus 1:2,31-Dec-10,01-Jul-16,1.5
ITDCEM,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,21-Aug-15,10
IVC,EQ,2,Bonus 1:2,31-Dec-10,26-Dec-13,1.5
J&KBANK,EQ,1,Face Value Split - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,04-Sep-14,10
JAMNAAUTO,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,03-Dec-15,10
JAMNAAUTO,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,03-Dec-15,05-Oct-17,5
JAYAGROGN,EQ,5,Bonus 1:1,31-Dec-10,01-Aug-17,2
JAYBARMARU,EQ,5,Bonus 1:1,31-Dec-10,07-Jun-21,2
JBMA,EQ,2,Bonus 1:1 And Face Value Split Rs.10/- To Rs.5/- Per Share,31-Dec-10,08-Oct-14,4
JETFREIGHT,EQ,5,Rights 1:1 @ Premium Rs 11.25/-,31-Dec-10,11-Jan-23,1.158
JINDWORLD,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,26-Dec-17,10
JINDWORLD,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,26-Dec-17,31-Oct-18,5
JISLJALEQS,EQ,2,Bon 1 Dvr : 20 Eq Shares,31-Dec-10,08-Nov-11,1.05
JKIL,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,10-Dec-15,2
JKPAPER,EQ,10,Rights 3:4 @ Premium Rs.32/- Per Share,31-Dec-10,26-Jul-11,1.041
JKTYRE,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,18-Dec-14,5
JMA,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,14-May-19,5
JMCPROJECT,EQ,2,Rights 2:7,31-Dec-10,11-Jan-16,5.22
JMCPROJECT,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,11-Jan-16,04-Oct-18,5
JMTAUTOLTD,EQ,1,Bonus 5:2,31-Dec-10,30-Jul-14,35
JMTAUTOLTD,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,30-Jul-14,25-Jun-15,10
JMTAUTOLTD,EQ,1,Face Value Split From Rs 2 To Re 1,25-Jun-15,21-Sep-16,2
JOCIL,EQ,10,Bonus 1:1,31-Dec-10,27-Sep-11,2
JSWSTEEL,EQ,1,Fv Splt Frm Rs 10 To Re 1,31-Dec-10,04-Jan-17,10
JUBLFOOD,EQ,2,Bonus 1:1,31-Dec-10,21-Jun-18,2
JYOTHYLAB,EQ,1,Annual General Meeting/Dividend Of Rs.2.50 Per Share/ Bonus 1:1,31-Dec-10,12-Jul-12,4
JYOTHYLAB,EQ,1,Bonus 1:1,12-Jul-12,28-Jun-18,2
KAJARIACER,EQ,1,Face Value Split From Rs 2 To Re 1,31-Dec-10,04-Oct-16,2
KANANIIND,EQ,1,Face Value Split From Rs.5/- To Re.1/-,31-Dec-10,01-Nov-12,5.5
KANANIIND,EQ,1,Bonus 1:10,01-Nov-12,01-Feb-13,1.1
KANPRPLA,EQ,10,Bonus 1:2,31-Dec-10,15-Sep-21,1.5
KANSAINER,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,26-Mar-15,10
KARURVYSYA,EQ,2,Rights 2:5 @ Premium Rs.140/- Per Share,31-Dec-10,17-Feb-11,7.4181855
KARURVYSYA,EQ,2,Fv Splt Frm Rs 10 To Rs 2,17-Feb-11,17-Nov-16,5.9015
KARURVYSYA,EQ,2,Rights 1:6 @ Premium Rs 74/-,17-Nov-16,12-Oct-17,1.1803
KARURVYSYA,EQ,2,Bonus 1:10,12-Oct-17,14-Aug-18,1.1
KBCGLOBAL,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,02-Jul-20,50
KBCGLOBAL,EQ,1,Bonus 4:1/Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,02-Jul-20,12-Aug-21,10
KDDL,EQ,10,Rights 7:75 @ Premium Rs 220/-,31-Dec-10,30-Mar-21,1.013
KELLTONTEC,EQ,5,Bonus 1:1,31-Dec-10,27-Mar-18,2
KESORAMIND,EQ,10,Rights 7:5@Premium Rs.55 Per Share/Annual General Meeting / Dividend Re.1/- Per Equity Share (Purpose Revised),31-Dec-10,15-May-13,1.47752
KESORAMIND,EQ,10,Rights 133:274 @ Premium Rs 40/-,15-May-13,16-Sep-21,1.168
KINGFA,EQ,10,Rights 18:91 @ Prem Rs 740,31-Dec-10,09-Mar-17,1.022
KITEX,EQ,1,Bonus 2:5,31-Dec-10,22-Jun-17,1.4
KKCL,EQ,10,Bonus 4:1,31-Dec-10,16-Dec-21,5
KNRCON,EQ,2,Fv Splt Frm Rs 10 To Rs 2,31-Dec-10,13-Dec-16,10
KNRCON,EQ,2,Bonus 1:1,13-Dec-16,03-Feb-21,2
KOTAKBANK,EQ,5,Bonus 1: 1,31-Dec-10,08-Jul-15,2
KOTHARIPRO,EQ,10,Bonus 2 : 1,31-Dec-10,28-Mar-14,4.5
KOTHARIPRO,EQ,10,Bonus 1:2,28-Mar-14,05-Jan-16,1.5
KPIGREEN,EQ,10,Bonus 1:1,31-Dec-10,18-Jan-23,2
KPRMILL,EQ,1,Fv Splt Frm Rs 10 To Rs 5,31-Dec-10,29-Nov-16,10
KPRMILL,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,29-Nov-16,24-Sep-21,5
KREBSBIO,EQ,10,Rights 21:100 @ Premium Rs 76 Per Share,31-Dec-10,31-Jan-19,1.035
KSCL,EQ,2,Face Value Split From Rs 10/- To Rs 2/-,31-Dec-10,27-Jan-14,5
KSERASERA,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,30-Mar-15,10
KTIL,EQ,5,Bonus 1:25/ Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,11-Aug-16,2.08
KTKBANK,EQ,10,Rights 2:5 @ Premium Rs 75 Per Share,31-Dec-10,25-Feb-11,1.4630748
KTKBANK,EQ,10,Rights 1:2 @ Premium Rs 60/- Per Share,25-Feb-11,24-Oct-16,1.3497
KTKBANK,EQ,10,Bonus 1:10,24-Oct-16,17-Mar-20,1.1
KUANTUM,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,31-Dec-10,14-Jul-20,10
L&TFH,EQ,10,Rights 17:74@ Premium Rs 55 Per Share,31-Dec-10,21-Jan-21,1.075
LAKSHVILAS,EQ,10,Dividend Re1/- Per Share + Rights Issue 5:6,31-Dec-10,25-Jul-14,1.45624
LAKSHVILAS,EQ,10,Rights 1:3 @ Premium Rs 112/-,25-Jul-14,05-Dec-17,1.09
LAMBODHARA,EQ,5,Face Value Split From Rs 10 To Rs 5,31-Dec-10,15-Oct-15,2
LAOPALA,EQ,2,Sub-Division From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,24-Sep-14,10
LAOPALA,EQ,2,Bonus 1:1,24-Sep-14,22-Mar-18,2
LAURUSLABS,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,29-Sep-20,5
LGBBROSLTD,EQ,10,Annual General Meeting / Final Dividend - Rs 7/- Per Share / Bonus 1 : 1,31-Dec-10,04-Jul-14,4
LGBBROSLTD,EQ,10,Bonus 1:1,04-Jul-14,14-Jun-18,2
LGBFORGE,EQ,1,Rights 1:2 @ Premium Rs.1.75 Per Share,31-Dec-10,20-Mar-12,1.02313
LGBFORGE,EQ,1,Rights 588:1000@ Premium Rs 2/-,20-Mar-12,03-Jan-19,1.013
LIBAS,EQ,10,Bonus 1:5,31-Dec-10,06-Apr-21,1.54537
LIBAS,EQ,10,Bonus 1:5,06-Apr-21,21-Sep-21,1.2878
LIBAS,EQ,10,Rights 1:2 @ Premium Rs 11/-,21-Sep-21,15-Sep-22,1.07317
LT,EQ,2,Bonus 1:2,31-Dec-10,11-Jul-13,2.25
LT,EQ,2,Bonus 1:2,11-Jul-13,13-Jul-17,1.5
LUMAXTECH,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,07-Jun-18,5
LUXIND,EQ,2,Face Value Split From Rs 10 To Rs 2,31-Dec-10,06-Jun-16,5
LYPSAGEMS,EQ,10,Bonus 1:2,31-Dec-10,29-Sep-14,2.1
LYPSAGEMS,EQ,10,Bonus 2:5,29-Sep-14,12-Jul-17,1.4
M&M,EQ,5,Bonus 1:1,31-Dec-10,21-Dec-17,2
M&MFIN,EQ,2,Face Value Split Rs 10 To Rs 2,31-Dec-10,15-Feb-13,8.195
M&MFIN,EQ,2,Rights 1:1 @ Premium Rs 48/-,15-Feb-13,22-Jul-20,1.639
MAANALU,EQ,10,Bonus 1:1,31-Dec-10,10-Jul-17,4
MAANALU,EQ,10,Bonus 1: 1,10-Jul-17,02-Aug-21,2
MAGADSUGAR,EQ,10,Bonus 4:10,31-Dec-10,27-Jun-19,1.4
MAHESHWARI,EQ,10,Bonus 1:1,31-Dec-10,13-Oct-20,2
MAHLIFE,EQ,10,Rights 1:4 @ Premium Rs 282/-,31-Dec-10,30-Mar-17,3.21
MAHLIFE,EQ,10,Bonus 2:1,30-Mar-17,14-Sep-21,3
MAHSEAMLES,EQ,5,Bonus 1:1,31-Dec-10,25-Nov-22,2
MAITHANALL,EQ,10,Bonus 1:1,31-Dec-10,15-Jul-15,2
MANAPPURAM,EQ,2,Bonus Shares In The Ratio Of 1:1,31-Dec-10,09-Jun-11,2
MANINFRA,EQ,2,Annual General Meeting / Dividend - Rs 1.35/- Per Share / Face Value Split - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,28-Aug-14,7.5
MANINFRA,EQ,2,Bonus 1:2,28-Aug-14,17-Nov-21,1.5
MANPASAND,EQ,10,Bonus 1:1,31-Dec-10,27-Sep-17,2
MARATHON,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,05-Apr-18,2
MARICO,EQ,1,Bonus 1:1,31-Dec-10,22-Dec-15,2
MARINE,EQ,2,Face Value Split (Sub-Division) - From Rs 10 Per Share To Rs 2 Per Share,31-Dec-10,18-Feb-21,5
MAXVIL,EQ,10,Rights 67:66 @ Premium Rs 51/-,31-Dec-10,21-Jun-18,1.037
MAYURUNIQ,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,31-Dec-10,25-Sep-13,4
MAYURUNIQ,EQ,5,Bonus 1 : 1,25-Sep-13,28-Mar-14,2
MBAPL,EQ,10,Bonus 1:1,31-Dec-10,18-Oct-22,2
MBLINFRA,EQ,10,Bonus 1:1,31-Dec-10,28-Jul-15,2
MCDOWELL-N,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,15-Jun-18,5
MEGASOFT,EQ,10,Rights 2:3,31-Dec-10,12-Jul-21,1.186
MENONBE,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,31-Dec-10,09-Apr-15,6
MENONBE,EQ,1,Bonus 1:5,09-Apr-15,30-Aug-16,1.2
METKORE,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,03-Nov-11,5
MHRIL,EQ,10,Bonus 1:2,31-Dec-10,10-Jul-17,2.25
MHRIL,EQ,10,Bonus 1:2,10-Jul-17,08-Sep-21,1.5
MICROTECH,EQ,10,Bonus 1:1,31-Dec-10,17-Jul-12,2
MINDACORP,EQ,2,Bonus 1:1,31-Dec-10,27-Mar-12,20
MINDACORP,EQ,2,Bonus 1:1 / Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share,27-Mar-12,05-Jan-15,10
MINDTREE,EQ,10,Bonus 1 : 1,31-Dec-10,03-Jun-14,4
MINDTREE,EQ,10,Bonus 1:1,03-Jun-14,09-Mar-16,2
MIRCELECTR,EQ,1,Rights 5:13 @Premium Rs.5,31-Dec-10,18-Sep-14,1.125
MITTAL,EQ,10,Bonus 1:10,31-Dec-10,31-Aug-21,1.1
MMFL,EQ,10,Bonus 1:1,31-Dec-10,18-Jul-18,2
MMTC,EQ,1,Bonus 1:2,31-Dec-10,03-May-18,1.5
MOHOTAIND,EQ,10,Bonus 2 : 1,31-Dec-10,06-Feb-14,3.5
MOHOTAIND,EQ,10,Bonus 1:6,06-Feb-14,16-Mar-15,1.166666667
MOIL,EQ,10,Bonus 1:1,31-Dec-10,27-Sep-17,2
MOKSH,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,14-Jul-21,5
MOLDTKPAC,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,17-Feb-16,2.012
MOLDTKPAC,EQ,5,Rights 1:50 @ Premium Rs 175 With 6 Warrants For 50 Equity Shares,17-Feb-16,21-Oct-20,1.006
MONSANTO,EQ,10,Bonus 1:1,31-Dec-10,05-Oct-11,2
MOTHERSON,EQ,1,Bonus 1:2,31-Dec-10,03-Oct-22,1.5
MOTOGENFIN,EQ,5,Face Value Split (Sub-Division) - From Rs 10 Per Share To Rs 5 Per Share,31-Dec-10,19-Jun-20,2
MSUMI,EQ,1,Bonus 2:5,31-Dec-10,16-Nov-22,1.4
MUNJALAU,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,29-Dec-11,10
MUNJALAU,EQ,2,Bonus 1:1,29-Dec-11,11-Jul-17,2
MUTHOOTCAP,EQ,10,Bonus 1:10,31-Dec-10,12-Jun-17,1.1
NATCOPHARM,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,26-Nov-15,5
NATIONALUM,EQ,5,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.5/-,31-Dec-10,15-Mar-11,4
NAUKRI,EQ,10,Annual General Meeting/Dividend-Re.1/- Per Share/Bonus 1:1,31-Dec-10,22-Jun-12,2
NAVINFLUOR,EQ,2,Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,19-Jul-17,5
NAZARA,EQ,4,Bonus 1:1,31-Dec-10,24-Jun-22,2
NBCC,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,02-Jun-16,15
NBCC,EQ,1,Bonus 1:2,02-Jun-16,17-Feb-17,3
NBCC,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,17-Feb-17,25-Apr-18,2
NBIFIN,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,07-Dec-17,2
NCC,EQ,2,Rights 7 : 6 @ Premium Rs 18/- Per Share,31-Dec-10,18-Sep-14,1.634
NDL,EQ,10,Bonus 2:1,31-Dec-10,24-Mar-22,3
NELCAST,EQ,2,Face Value Split From Rs 10 To Rs 2,31-Dec-10,06-Sep-11,5
NESCO,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,15-Sep-17,5
NETWORK18,EQ,5,Rights 307:50 @ Premium Rs.25/- Per Share,31-Dec-10,11-Sep-12,1.002
NEULANDLAB,EQ,10,Rights 5:12 @ Premium Rs.35/- Per Share,31-Dec-10,21-Mar-12,1.209176
NEULANDLAB,EQ,10,Rights Issue 4 : 25 @ Premium Rs 194/- Per Equity Share,21-Mar-12,13-Aug-14,1.046
NIACL,EQ,5,Bonus 1:1/ Dividend- Rs 5 Per Share,31-Dec-10,27-Jun-18,2
NIPPOBATRY,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,28-Oct-21,2
NITINFIRE,EQ,2,Bonus 5:2,31-Dec-10,22-Sep-11,4.666666666
NITINFIRE,EQ,2,Bonus 1:3,22-Sep-11,13-Nov-14,1.333333333
NTPC,EQ,10,Bonus 1:5,31-Dec-10,19-Mar-19,1.2
NXTDIGITAL,EQ,10,Rights 2:5 @ Premium Rs 290/-,31-Dec-10,22-Oct-21,1.129
NYKAA,EQ,1,Bonus 5:1,31-Dec-10,10-Nov-22,6
OIL,EQ,10,Bonus 3:2,31-Dec-10,29-Mar-12,5
OIL,EQ,10,Bonus 1:3,29-Mar-12,12-Jan-17,2
OIL,EQ,10,Bonus 1:2,12-Jan-17,27-Mar-18,1.5
OMAXE,EQ,10,Bonus 10:39,31-Dec-10,11-Nov-13,1.256410256
ONEPOINT,EQ,2,Bonus 1:2,31-Dec-10,18-Jan-22,1.5
ONGC,EQ,5,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.5/-,31-Dec-10,08-Feb-11,6
ONGC,EQ,5,Bonus 1: 2,08-Feb-11,15-Dec-16,1.5
ONMOBILE,EQ,10,Bonus 1:1,31-Dec-10,03-May-11,2
OPTOCIRCUI,EQ,10,Bonus 3:10,31-Dec-10,29-Mar-12,1.3
ORBTEXP,EQ,10,Bonus 1:1/Interim Dividend Rs 2/- Per Share (Purpose Revised),31-Dec-10,14-Feb-17,2
ORISSAMINE,EQ,1,Face Value Split From Rs.10/- To Re.1/-,31-Dec-10,29-Oct-12,10
PANAMAPET,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Dec-10,19-Sep-14,7.5
PANAMAPET,EQ,2,Bonus 1:2,19-Sep-14,03-Oct-17,1.5
PATELENG,EQ,1,Rights 7:5 @ Premium Rs 8/- Per Share,31-Dec-10,17-Sep-19,1.316
PATINTLOG,EQ,10,Rights 27:47,31-Dec-10,17-Feb-21,2.1679
PATINTLOG,EQ,10,Rights 613:399,17-Feb-21,28-Oct-21,1.63
PCJEWELLER,EQ,10,Bonus 1:1,31-Dec-10,06-Jul-17,2
PEL,EQ,2,Rights 1:23 @ Premium Rs 2378/-,31-Dec-10,31-Jan-18,1.02912
PEL,EQ,2,Rights 11:83 @ Premium Rs 1298/-,31-Jan-18,30-Dec-19,1.024
PERSISTENT,EQ,10,Bonus 1 : 1,31-Dec-10,10-Mar-15,2
PETRONET,EQ,10,Bonus 1:1,31-Dec-10,03-Jul-17,2
PFC,EQ,10,Bonus 1:1,31-Dec-10,26-Aug-16,2
PIIND,EQ,1,Face Value Split From Rs.10/- To Rs.5/-,31-Dec-10,17-Aug-11,10
PIIND,EQ,1,Face Value Split From Rs.5/- Per Share To Re.1/- Per Share,17-Aug-11,12-Apr-13,5
PILANIINVS,EQ,10,Bonus 2:5,31-Dec-10,31-Dec-20,1.4
PILITA,EQ,1,Face Value Split (Sub-Division) - From Rs 4/- Per Share To Re 1/- Per Share,31-Dec-10,24-Aug-16,4
PINCON,EQ,10,Bonus 1:1,31-Dec-10,23-Jun-16,2
PITTIENG,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,31-Dec-10,16-Apr-15,2
PLASTIBLEN,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,31-Dec-10,29-Feb-12,4
PLASTIBLEN,EQ,5,Bonus 1:1,29-Feb-12,03-Jul-17,2
PNB,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,31-Dec-10,18-Dec-14,5
