SBT,EQ,10,Rights 1:5 @ Premium Rs 390/- Per Share,03-Mar-15,1.048
GMRINFRA,EQ,1,Rights 3:14 @ Premium Rs 14/- Per Share,11-Mar-15,1.019
TATAMOTORS,EQ,2,Rights 6:109 @ Premium Rs. 448/- Per Share,06-Apr-15,1.01
TATAMTRDVR,EQ,2,Rights 6:109 @ Premium Rs.269/- Per Share,06-Apr-15,1.01
ARROWTEX,EQ,10,Rights 2:5 @ Premium Re 1 Per Share,03-Mar-11,1.038
VASCONEQ,EQ,10,Rights 14:19 @ Premium Rs 5/- Per Share,23-Jun-15,1.002
IL&FSTRANS,EQ,10,Rights 1:3 @ Premium Rs.80/- Per Share,07-Oct-15,1.025
ASHIMASYN,EQ,10,Rights : 24:10 At Par,30-Oct-15,1.287
JMCPROJECT,EQ,2,Rights 2:7,11-Jan-16,1.044
SPARC,EQ,1,Rights 5: 116 At Premium Rs 244/- Per Share,16-Mar-16,1.006
SINTEX,EQ,1,Dividend - Re 0.70/- Per Share/ Right 26:151,08-Aug-16,1.017
CREST,EQ,10,Rights 1:2@Prem Rs 40,15-Sep-16,1.164
CNOVAPETRO,EQ,10,Rights 1:1 @ Premium Rs 4.50 Per Share,24-Oct-16,1.560606061
KTKBANK,EQ,10,Rights 1:2 @ Premium Rs 60/- Per Share,24-Oct-16,1.227
SOUTHBANK,EQ,1,Rights 1:3 @ Premium Rs 13/- Per Share,16-Feb-17,1.105
CANBK,EQ,10,Rights 1:10 @ Prem Rs 197/- Per Share,17-Feb-17,1.028
KINGFA,EQ,10,Rights 18:91 @ Prem Rs 740,09-Mar-17,1.022
MAHLIFE,EQ,10,Rights 1:4 @ Premium Rs 282/-,30-Mar-17,1.07
VSSL,EQ,10,Rights 2:3 @ Premium Rs 40/-,07-Apr-17,1.374
INTELLECT,EQ,5,Rights 5:22 @ Premium Rs 81/-,17-Jul-17,1.067
INDHOTEL,EQ,1,Rights 1:5 @ Premium Rs 74/-,04-Oct-17,1.068
KARURVYSYA,EQ,2,Rights 1:6 @ Premium Rs 74/-,12-Oct-17,1.073
HIRECT,EQ,2,Rights 1:10 @ Premium Rs 78/-,17-Oct-17,1.032
HCL-INSYS,EQ,2,Rights 10:21 @ Premium Rs 45/-,31-Oct-17,1.007
VIPCLOTHNG,EQ,2,Rights 1:4 @ Premium Rs 24/-,17-Nov-17,1.133
LAKSHVILAS,EQ,10,Rights 1:3 @ Premium Rs 112/-,05-Dec-17,1.09
SUMEETINDS,EQ,10,Rights 3:7 @ Premium Rs 14/-,15-Dec-17,1.08
SHALPAINTS,EQ,2,Rights 6:32 @ Premium Rs 138/-,28-Dec-17,1.058
PEL,EQ,2,Rights 1:23 @ Premium Rs 2378/-,31-Jan-18,1.005
TATASTEEL,EQ,1,Rights - 4:25 Fully Paid Up Shares @ Premium Rs 500/- Per Share / 2:25 Partly Paid Up Shares @ Premium Rs 605/- Per Share,31-Jan-18,1.049
DHANI,EQ,2,Rights 3:16 @ Premium Rs 238/-,09-Feb-18,1.0006
MAXVIL,EQ,10,Rights 67:66 @ Premium Rs 51/-,21-Jun-18,1.037
SHALPAINTS,EQ,2,Rights 3:2 @ Premium Rs 62.50/-,06-Nov-18,1.314
HCC,EQ,1,Rights 49:100 @ Premium Rs 9/-,20-Nov-18,1.114
LGBFORGE,EQ,1,Rights 588:1000@ Premium Rs 2/-,03-Jan-19,1.013
KREBSBIO,EQ,10,Rights 21:100 @ Premium Rs 76 Per Share,31-Jan-19,1.035
IDEA,EQ,10,Rights 87:38 @ Premium Of Rs 2.50 Per Share,29-Mar-19,1.655
BHARATGEAR,EQ,10,Rights 1:7 @ Premium Rs 95 Per Share,02-Apr-19,1.051
BHARTIARTL,EQ,5,Rights 19:67 @ Premium Rs 215 Per Share,23-Apr-19,1.089
5PAISA,EQ,10,Rights 1:1 @ Premium Rs 70 Per Share,28-May-19,1.644
PATELENG,EQ,1,Rights 7:5 @ Premium Rs 8/- Per Share,17-Sep-19,1.316
TEXRAIL,EQ,1,Rights 19:100 @ Premium Rs 45.70/-,24-Sep-19,1.008
PEL,EQ,2,Rights 11:83 @ Premium Rs 1298/-,30-Dec-19,1.024
BAJAJELEC,EQ,2,Rights 13:118 @ Premium Rs 308/-,05-Feb-20,1.025
BROOKS,EQ,10,Rights 9:20 @ Premium Rs 10/-,11-Feb-20,1.199
ARROWGREEN,EQ,10,Rights 1:5 @ Premium Rs 26/-,12-Feb-20,1.073
ARVINDFASN,EQ,4,Rights 16:47 @ Premium Rs 146/-,17-Mar-20,1.313
RELIANCE,EQ,10,Rights 1:15 @ Premium Rs 1247,13-May-20,1.009
REFEX,EQ,10,Rights 5:14@ Premium Rs 35/-,16-Jun-20,1.032
ABFRL,EQ,10,Rights 9:77 Partly Paid @ Premium Rs 100/-,30-Jun-20,1.014
SRTRANSFIN,EQ,10,Rights 3:26 @ Premium Rs 560/-,09-Jul-20,1.026
PVR,EQ,10,Rights 7:94 @ Premium Rs 774/-,09-Jul-20,1.018
M&MFIN,EQ,2,Rights 1:1 @ Premium Rs 48/-,22-Jul-20,1.639
SPENCERS,EQ,5,Rights 2:15 @ Premium Rs 70/-,28-Jul-20,1.011
SATIN,EQ,10,Rights 48:125 @ Premium Rs 50/-,04-Aug-20,1.067
RUSHIL,EQ,10,Rights 1:3 @ Premium Rs 40/-,10-Sep-20,1.145
DEEPAKFERT,EQ,10,Rights 3:20 @ Premium Rs 123/-,16-Sep-20,1.031
EIHOTEL,EQ,2,Rights 8:85 @ Premium Rs 63/-,22-Sep-20,1.019
MOLDTKPAC,EQ,5,Rights 1:50 @ Premium Rs 175 With 6 Warrants For 50 Equity Shares,21-Oct-20,1.006
SHOPERSTOP,EQ,5,Rights 17:70 @ Premium Rs 135/-,19-Nov-20,1.056
PRICOLLTD,EQ,1,Rights 2:7 @ Premium Rs 29/-,24-Nov-20,1.125
URJA,EQ,1,Rights 7:71 @ Premium Rs 4/-,14-Jan-21,1.044
L&TFH,EQ,10,Rights 17:74@ Premium Rs 55 Per Share,21-Jan-21,1.075
PATINTLOG,EQ,10,Rights 27:47,17-Feb-21,1.33
ARVINDFASN,EQ,4,Rights 3:20 @ Premium Rs 131/-,23-Feb-21,1.024
KDDL,EQ,10,Rights 7:75 @ Premium Rs 220/-,30-Mar-21,1.013
SUNDARMHLD,EQ,5,Rights 23:49 @ Premium Rs 45/-,26-Apr-21,1.125
VIKASLIFE,EQ,1,Rights 2:5 @ Premium Re 0.85/-,20-May-21,1.15
VIKASECO,EQ,1,Rights 13:10 @ Premium Rs 0.35/-,09-Jun-21,1.395
MEGASOFT,EQ,10,Rights 2:3,12-Jul-21,1.186
PRAXIS,EQ,5,Rights 11:8 @ Premium Rs 6.35/-,07-Sep-21,1.839
ASIANTILES,EQ,10,Rights 19:29 @ Premium Rs 90/-,08-Sep-21,1.183
BASML,EQ,5,Rights 21:20@ Premium Rs 25/-,08-Sep-21,1.55
KESORAMIND,EQ,10,Rights 133:274 @ Premium Rs 40/-,16-Sep-21,1.168
RPPINFRA,EQ,10,Rights 3:5 @ Premium Rs 20/-,17-Sep-21,1.325
BHARTIARTL,EQ,5,Rights 1:14 @ Premium Rs 530/-,27-Sep-21,1.018
TEXRAIL,EQ,1,Rights 2:7 @ Premium Rs 22/-,21-Oct-21,1.101
NXTDIGITAL,EQ,10,Rights 2:5 @ Premium Rs 290/-,22-Oct-21,1.129
BHARATGEAR,EQ,10,Rights 1:10 @ Premium Rs 95/-,28-Oct-21,1.037
PATINTLOG,EQ,10,Rights 613:399,28-Oct-21,1.63
VIKASLIFE,EQ,1,Rights 4:21 @ Premium Rs 1.80/-,29-Oct-21,1.042
INDHOTEL,EQ,1,Rights 1:9 @ Premium Rs 149/-,11-Nov-21,1.031
VIKASECO,EQ,1,Rights 12:25@ Premium Rs 0.60/-,24-Nov-21,1.155
SHIVAMAUTO,EQ,2,Rights 2:9 @ Premium Rs 16/-,09-Dec-21,1.074074074
BEARDSELL,EQ,2,Rights 1:3 @ Premium Rs 8/-,16-Dec-21,1.07
FAME,EQ,10,Rights 58:100 @ Premium Rs.34/- Per Share,24-Jan-12,1.068
SBBJ,EQ,10,Rights 2:5 @ Premium Of Rs 380 Per Share,16-Mar-11,1.03
RELMEDIA,EQ,5,Rights 13:4 @ Premium Rs.35 Per Share,23-Jul-13,1.071
INDHOTEL,EQ,1,9 Ccds For Every 40 Equity Shares,18-Jul-14,1.0315
