Symbol,Series,Face Value,Purpose,Ex-date,Multiplier
AVADHSUGAR,EQ,10,Bonus 1:1,27-Jun-19,2
AVANTIFEED,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,26-Nov-15,5
AVANTIFEED,EQ,1,Bonus 1:2/Face Value Split (Sub-Division) From Rs 2/- Per Share To Re 1/- Per Share,26-Jun-18,3
AVTNPL,EQ,1,Face Value Split From Rs 10 To Re 1,07-Jun-12,10
AVTNPL,EQ,1,Bonus 1:1,26-Sep-13,2
AXISBANK,EQ,2,Face Value Split From Rs 10/- To Rs 2/- Per Share,28-Jul-14,5
BAJAJCON,EQ,1,Face Value Split From Rs.5/- To Re.1/-,05-May-11,5
BAJFINANCE,EQ,2,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,08-Sep-16,10
BALKRISIND,EQ,2,Bonus 1:1,21-Dec-17,2
BALMLAWRIE,EQ,10,Bonus 3:4,23-May-13,1.75
BALMLAWRIE,EQ,10,Bonus 3:1,26-Dec-16,4
BALMLAWRIE,EQ,10,Bonus 1:2,26-Dec-19,1.5
BANKBARODA,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,22-Jan-15,5
BASML,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,12-Feb-21,2
BATAINDIA,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,07-Oct-15,2
BBOX,EQ,2,Bonus 1:1,19-Dec-12,2
BBTC,EQ,2,Face Value Split From Rs 10 To Rs 2,08-Nov-12,5
BCG,EQ,2,Bonus 1:4,18-Aug-21,1.25
BCG,EQ,2,Bonus 2:3,15-Mar-22,1.666666667
BEARDSELL,EQ,2,Bonus 1:5/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,04-May-17,6
BEL,EQ,1,Bonus 2:1,14-Sep-15,3
BEL,EQ,1,Face Value Split From Rs 10/- Per Share To Re 1/- Per Share,16-Mar-17,10
BERGEPAINT,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,08-Jan-15,2
BERGEPAINT,EQ,1,Bonus 2:5,15-Jul-16,1.4
BHAGCHEM,EQ,10,Rights Issue 4:17@ Premium Rs 390/-,07-Apr-22,1.141
