Symbol,Series,Face Value,Purpose,Ex-date,Multiplier
KUANTUM,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,14-Jul-20,10
LAMBODHARA,EQ,5,Face Value Split From Rs 10 To Rs 5,15-Oct-15,2
LAOPALA,EQ,2,Sub-Division From Rs 10/- Per Share To Rs 2/- Per Share,24-Sep-14,5
LAOPALA,EQ,2,Bonus 1:1,22-Mar-18,2
LAURUSLABS,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,29-Sep-20,5
LGBBROSLTD,EQ,10,Annual General Meeting / Final Dividend - Rs 7/- Per Share / Bonus 1 : 1,04-Jul-14,2
LGBBROSLTD,EQ,10,Bonus 1:1,14-Jun-18,2
LIBAS,EQ,10,Bonus 1:5,06-Apr-21,1.2
LIBAS,EQ,10,Bonus 1:5,21-Sep-21,1.2
LT,EQ,2,Bonus 1:2,11-Jul-13,1.5
LT,EQ,2,Bonus 1:2,13-Jul-17,1.5
LUMAXTECH,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,07-Jun-18,5
LUXIND,EQ,2,Face Value Split From Rs 10 To Rs 2,06-Jun-16,5
LYPSAGEMS,EQ,10,Bonus 1:2,29-Sep-14,1.5
LYPSAGEMS,EQ,10,Bonus 2:5,12-Jul-17,1.4
M&M,EQ,5,Bonus 1:1,21-Dec-17,2
M&MFIN,EQ,2,Face Value Split Rs 10 To Rs 2,15-Feb-13,5
MAANALU,EQ,10,Bonus 1:1,10-Jul-17,2
MAANALU,EQ,10,Bonus 1: 1,02-Aug-21,2
MAGADSUGAR,EQ,10,Bonus 4:10,27-Jun-19,1.4
MAHESHWARI,EQ,10,Bonus 1:1,13-Oct-20,2
MAHLIFE,EQ,10,Bonus 2:1,14-Sep-21,3
MAITHANALL,EQ,10,Bonus 1:1,15-Jul-15,2
MANAPPURAM,EQ,2,Bonus Shares In The Ratio Of 1:1,09-Jun-11,2
MANINFRA,EQ,2,Annual General Meeting / Dividend - Rs 1.35/- Per Share / Face Value Split - From Rs 10/- Per Share To Rs 2/- Per Share,28-Aug-14,5
MANINFRA,EQ,2,Bonus 1:2,17-Nov-21,1.5
MANPASAND,EQ,10,Bonus 1:1,27-Sep-17,2
MARATHON,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,05-Apr-18,2
MARICO,EQ,1,Bonus 1:1,22-Dec-15,2
MARINE,EQ,2,Face Value Split (Sub-Division) - From Rs 10 Per Share To Rs 2 Per Share,18-Feb-21,5
MAYURUNIQ,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,25-Sep-13,2
MAYURUNIQ,EQ,5,Bonus 1 : 1,28-Mar-14,2
MBAPL,EQ,10,Bonus 1:1,18-Oct-22,2
MBLINFRA,EQ,10,Bonus 1:1,28-Jul-15,2
MCDOWELL-N,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,15-Jun-18,5
MENONBE,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,09-Apr-15,5
MENONBE,EQ,1,Bonus 1:5,30-Aug-16,1.2
METKORE,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,03-Nov-11,5
MHRIL,EQ,10,Bonus 1:2,10-Jul-17,1.5
MHRIL,EQ,10,Bonus 1:2,08-Sep-21,1.5
MICROTECH,EQ,10,Bonus 1:1,17-Jul-12,2
MINDACORP,EQ,2,Bonus 1:1,27-Mar-12,2
MINDACORP,EQ,2,Bonus 1:1 / Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share,05-Jan-15,10
MINDTREE,EQ,10,Bonus 1 : 1,03-Jun-14,2
MINDTREE,EQ,10,Bonus 1:1,09-Mar-16,2
MITTAL,EQ,10,Bonus 1:10,31-Aug-21,1.1
MMFL,EQ,10,Bonus 1:1,18-Jul-18,2
MMTC,EQ,1,Bonus 1:2,03-May-18,1.5
MOHOTAIND,EQ,10,Bonus 2 : 1,06-Feb-14,3
MOHOTAIND,EQ,10,Bonus 1:6,16-Mar-15,1.166666667
MOIL,EQ,10,Bonus 1:1,27-Sep-17,2
MOKSH,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,14-Jul-21,5
MOLDTKPAC,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,17-Feb-16,2
MONSANTO,EQ,10,Bonus 1:1,05-Oct-11,2
MOTHERSON,EQ,1,Bonus 1:2,03-Oct-22,1.5
MOTOGENFIN,EQ,5,Face Value Split (Sub-Division) - From Rs 10 Per Share To Rs 5 Per Share,19-Jun-20,2
MUNJALAU,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,29-Dec-11,5
MUNJALAU,EQ,2,Bonus 1:1,11-Jul-17,2
MUTHOOTCAP,EQ,10,Bonus 1:10,12-Jun-17,1.1
NATCOPHARM,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,26-Nov-15,5
NATIONALUM,EQ,5,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.5/-,15-Mar-11,4
NAUKRI,EQ,10,Annual General Meeting/Dividend-Re.1/- Per Share/Bonus 1:1,22-Jun-12,2
NAVINFLUOR,EQ,2,Face Value Split From Rs 10/- Per Share To Rs 2/- Per Share,19-Jul-17,5
NAZARA,EQ,4,Bonus 1:1,24-Jun-22,2
NBCC,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,02-Jun-16,5
NBCC,EQ,1,Bonus 1:2,17-Feb-17,1.5
NBCC,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,25-Apr-18,2
NBIFIN,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,07-Dec-17,2
NDL,EQ,10,Bonus 2:1,24-Mar-22,3
NELCAST,EQ,2,Face Value Split From Rs 10 To Rs 2,06-Sep-11,5
NESCO,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,15-Sep-17,5
NIACL,EQ,5,Bonus 1:1/ Dividend- Rs 5 Per Share,27-Jun-18,2
NIPPOBATRY,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,28-Oct-21,2
NITINFIRE,EQ,2,Bonus 5:2,22-Sep-11,3.5
NITINFIRE,EQ,2,Bonus 1:3,13-Nov-14,1.333333333
NTPC,EQ,10,Bonus 1:5,19-Mar-19,1.2
OIL,EQ,10,Bonus 3:2,29-Mar-12,2.5
OIL,EQ,10,Bonus 1:3,12-Jan-17,1.333333333
OIL,EQ,10,Bonus 1:2,27-Mar-18,1.5
OMAXE,EQ,10,Bonus 10:39,11-Nov-13,1.256410256
ONEPOINT,EQ,2,Bonus 1:2,18-Jan-22,1.5
ONGC,EQ,5,Bonus 1:1 And Face Value Split From Rs.10/- To Rs.5/-,08-Feb-11,4
ONGC,EQ,5,Bonus 1: 2,15-Dec-16,1.5
ONMOBILE,EQ,10,Bonus 1:1,03-May-11,2
OPTOCIRCUI,EQ,10,Bonus 3:10,29-Mar-12,1.3
ORBTEXP,EQ,10,Bonus 1:1/Interim Dividend Rs 2/- Per Share (Purpose Revised),14-Feb-17,2
ORISSAMINE,EQ,1,Face Value Split From Rs.10/- To Re.1/-,29-Oct-12,10
PANAMAPET,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,19-Sep-14,5
PANAMAPET,EQ,2,Bonus 1:2,03-Oct-17,1.5
PCJEWELLER,EQ,10,Bonus 1:1,06-Jul-17,2
PERSISTENT,EQ,10,Bonus 1 : 1,10-Mar-15,2
PETRONET,EQ,10,Bonus 1:1,03-Jul-17,2
PFC,EQ,10,Bonus 1:1,26-Aug-16,2
PIIND,EQ,1,Face Value Split From Rs.10/- To Rs.5/-,17-Aug-11,2
PIIND,EQ,1,Face Value Split From Rs.5/- Per Share To Re.1/- Per Share,12-Apr-13,5
PILANIINVS,EQ,10,Bonus 2:5,31-Dec-20,1.4
PILITA,EQ,1,Face Value Split (Sub-Division) - From Rs 4/- Per Share To Re 1/- Per Share,24-Aug-16,4
PINCON,EQ,10,Bonus 1:1,23-Jun-16,2
PITTIENG,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,16-Apr-15,2
PLASTIBLEN,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,29-Feb-12,2
PLASTIBLEN,EQ,5,Bonus 1:1,03-Jul-17,2
PNB,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,18-Dec-14,5
PNBGILTS,EQ,10,Bonus 1:3,03-Jul-13,1.333333333
PNCINFRA,EQ,2,Face Value Split From Rs 10 To Rs 2,12-Aug-16,5
POKARNA,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,18-Oct-17,5
POLYMED,EQ,5,Bonus 1:1,09-Jul-13,2
POLYMED,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,02-Feb-15,2
POLYMED,EQ,5,Bonus 1:1,24-Mar-17,2
POWERGRID,EQ,10,Bonus 1:3,29-Jul-21,1.333333333
PRADIP,EQ,10,Bonus 1:5,12-Feb-13,1.2
PRAKASHSTL,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,03-Mar-16,10
PRECOT,EQ,10,Bonus 1:2,03-Oct-13,1.5
PRECWIRE,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,21-Mar-16,2
PRECWIRE,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,22-Dec-21,5
PTL,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,23-Dec-21,2
RADIOCITY,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,20-Feb-19,5
RADIOCITY,EQ,2,Bonus 1:4,12-Mar-20,1.25
RAIN,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,15-Jun-11,5
RAJMET,EQ,10,Bonus 1:2,02-Sep-21,1.5
RAJPALAYAM,EQ,10,Final Dividend Rs.7.50 Per Share And Special Dividend Rs.7.50 Per Share/Bonus 1:1 (Purpose Revised),13-Jul-11,2
RAJRAYON,EQ,1,Face Value Split From Rs 10 To Re 1,04-Mar-13,10
RAJTV,EQ,5,Bonus 1:1 / Face Value Split From Rs.10/- To Rs.5/-,25-Mar-14,4
RALLIS,EQ,1,Face Value Split From Rs.10/- To Re.1/-,15-Jul-11,10
RAMASTEEL,EQ,1,Bonus 4:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,14-Mar-16,10
RASOYPR,EQ,1,Bonus 2:1 / Face Value Split From Rs. 5/- To Re. 1/-,21-Mar-13,15
RATNAMANI,EQ,2,Bonus 1:2,30-Jun-22,1.5
RECLTD,EQ,10,Bonus 1:1,28-Sep-16,2
RECLTD,EQ,10,Bonus 1:3,17-Aug-22,1.333333333
REDINGTON,EQ,2,Bonus 1:1,18-Aug-21,2
RELAXO,EQ,1,Face Value Split From Rs.5/- To Re.1/-,22-Nov-13,5
RELAXO,EQ,1,Bonus 1:1,01-Jul-15,2
RELAXO,EQ,1,Bonus 1:1,26-Jun-19,2
RELIANCE,EQ,10,Bonus 1:1,07-Sep-17,2
RITES,EQ,10,Bonus 1:4,08-Aug-19,1.25
RSSOFTWARE,EQ,5,Interim Dividend - Rs 1.50/- Per Share / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share (Purpose Revised),21-Jan-15,2
RSYSTEMS,EQ,1,Face Value Split From Rs 10/- To Re 1/- Per Share,26-Feb-14,10
RUBYMILLS,EQ,5,Face Value Split From Rs 10 To Rs 5,22-Nov-12,2
RUBYMILLS,EQ,5,Bonus 1:1,21-Oct-15,2
RUCHIRA,EQ,10,Bonus 1:10,10-Oct-22,1.1
SAGARDEEP,EQ,10,Bonus 1:2,05-Oct-20,1.5
SAGCEM,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,17-Aug-21,5
SAKUMA,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,12-Nov-18,10
SALASAR,EQ,1,Bonus 1:1,13-Jul-21,2
SANWARIA,EQ,1,Bonus 1:1,07-Apr-11,2
SANWARIA,EQ,1,Bonus 1:1,03-Jul-17,2
SARLAPOLY,EQ,1,Face Value Split From Rs 10 To Re 1 (Record Date Revised),29-Oct-15,10
SATIA,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,15-Oct-19,10
SBC,EQ,1,Bonus 1:1,22-Feb-22,2
SBIN,EQ,1,Face Value Split Rs.10/- To Re.1/- Per Share,20-Nov-14,10
SDBL,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,15-Oct-20,2
SDBL,EQ,5,Rights 1:13@ Premium Rs 30/-,31-Dec-21,1.01
SECURKLOUD,EQ,5,Bonus 1:3/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,10-Oct-16,2.666666667
SESHAPAPER,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,19-Aug-19,5
SETUINFRA,EQ,1,Face Value Split From Rs 10 To Re 1,13-Dec-12,10
SHALPAINTS,EQ,2,Face Value Split From Rs 10 To Rs 2,22-Nov-12,5
SHARDAMOTR,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,16-Apr-21,5
SHARONBIO,EQ,2,Bonus 1:1 / Face Value Split From 10/- To Face Value 2/-,20-Feb-14,10
SHILPAMED,EQ,1,Annual General Meeting / Dividend - Rs 1.30/- Per Share / Bonus 1:2,16-Jul-13,1.5
SHILPAMED,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,06-Nov-15,2
SHILPI,EQ,10,Bonus 1:1,16-Sep-14,2
SHIVAMAUTO,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,30-Oct-14,5
SHIVAMAUTO,EQ,2,Bonus 1: 1,08-Oct-15,2
SHOPERSTOP,EQ,5,Face Value Split From Rs.10/- To Rs.5/-,12-Jan-11,2
SHRENIK,EQ,1,Bonus 2:1/Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share,08-Oct-20,6
SHRENUJ,EQ,2,Annual General Meeting / Dividend - Re 0.60/- Per Share / Bonus 1 : 1,15-Jul-14,2
SIGNET,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share,17-Aug-15,10
SIKKO,EQ,10,Bonus 1:2,28-Oct-22,1.5
SIS,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,15-Jan-20,2
SIYSIL,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,25-Oct-17,5
SMSPHARMA,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,17-Dec-15,10
SOLARINDS,EQ,2,Fv Splt Frm Rs 10 To Rs 2,13-Jul-16,5
SONAMCLOCK,EQ,10,Bonus 1:1,14-Jul-22,2
SONATSOFTW,EQ,1,Bonus 1:3,08-Sep-22,1.333333333
SOUISPAT,EQ,1,Annual General Meeting And Face Value Split From Rs.10/- To Re.1/-,22-Sep-14,10
SPYL,EQ,1,Face Value Split From Rs.10 To Re.1,10-Apr-13,10
SREINFRA,EQ,10,Bonus 4:5 (Pursuant To Scheme Of Amalgamation),10-Feb-11,1.8
SRF,EQ,10,Bonus 4:1,13-Oct-21,5
SRSLTD,EQ,10,Bonus 1:1,25-Jun-15,2
SSWL,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,18-Nov-21,2
STAMPEDE,EQ,1,Bonus 1:4,10-Jan-17,1.25
STERTOOLS,EQ,2,Fv Splt Frm Rs 10 To Rs 2,09-Jan-17,5
SUDARSCHEM,EQ,2,Bonus 1 : 1 / Face Value Split From Rs 10/- To Rs 2/- Per Share,30-Sep-14,10
SUJANATOW,EQ,1,Face Value Split From Rs.5/- To Re.1/-,10-Jan-11,5
SUMEETINDS,EQ,10,Bonus 1:4,02-Aug-18,1.25
SUNDARAM,EQ,1,Bonus 2:1,13-Apr-12,3
SUNDARMFIN,EQ,10,Bonus 1:1,13-Dec-12,2
SUNILHITEC,EQ,1,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,01-Dec-16,20
SUNPHARMA,EQ,1,Bonus 1:1,29-Jul-13,2
SUNTECK,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Rs 1/- Per Share,25-Jul-17,2
SURANASOL,EQ,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,25-Nov-14,2
SURANAT&P,EQ,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,25-Nov-14,5
SUTLEJTEX,EQ,1,Bonus 1:2,27-Jun-13,1.5
SUTLEJTEX,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,26-Sep-17,10
SUULD,EQ,10,Bonus 1:1,30-Mar-22,2
SUVENPHAR,EQ,1,Bonus 1:1,25-Sep-20,2
SWANENERGY,EQ,1,Face Value Split From Rs 2/- To Re 1/-,03-Feb-14,2
SWELECTES,EQ,10,Bonus 1:2,22-Aug-19,1.5
SYMPHONY,EQ,2,Face Value Split Rs.10/- To Rs.2/-,15-Feb-12,5
SYMPHONY,EQ,2,Bonus 1:1,14-Sep-16,2
SYNGENE,EQ,10,Bonus 1:1,11-Jun-19,2
TATACOFFEE,EQ,1,Face Value Split (Sub-Division): From Rs 10/- Per Share To Re 1/- Per Share,23-Jan-15,10
TATAELXSI,EQ,10,Bonus 1:1,18-Sep-17,2
TATAMOTORS,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,12-Sep-11,5
TATAMTRDVR,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,12-Sep-11,5
TATAPOWER,EQ,1,Face Value Split From Rs.10/- To Re.1/-,26-Sep-11,10
TCS,EQ,1,Bonus 1:1 /Dividend- Rs 29 Per Share,31-May-18,2
TECHM,EQ,5,Bonus 1:1 / Face Value Split - From Rs 10/- Per Share To Rs 5/- Per Share,19-Mar-15,4
TECHNO,EQ,2,Bonus 1:1,06-Sep-16,2
THEBYKE,EQ,10,Bonus 1:1,09-Oct-14,2
TIDEWATER,EQ,2,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,16-Mar-16,4
TIDEWATER,EQ,2,Bonus 1:1/Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 2/- Per Share,26-Jul-21,5
TIRUMALCHM,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,14-Aug-18,10
TIRUPATIFL,EQ,2,Bonus 3:4/Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,07-Oct-21,8.75
TITAN,EQ,1,Bonus 1:1 / Face Value Split From Rs.10/- To Re.1/-,23-Jun-11,20
TORNTPHARM,EQ,5,Bonus 1:1,23-Jul-13,2
TPLPLASTEH,EQ,2,Bonus 1:1,16-Sep-21,2
TRENT,EQ,1,Face Value Split From Rs 10 To Re 1,12-Sep-16,10
TRIDENT,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 1/- Per Share,13-Dec-19,10
TRIL,EQ,1,Bonus 1:9,13-Jun-13,1.111111111
TRIL,EQ,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,28-Sep-17,10
TTKPRESTIG,EQ,1,Bonus 1:5,15-May-19,1.2
TTKPRESTIG,EQ,1,Face Value Split (Sub-Division) - From Rs 10 Per Share To Re 1 Per Share,14-Dec-21,10
TTML,EQ,10,Bonus 2:15,07-Aug-13,1.133333333
TULSI,EQ,10,Bonus 1:10 (Record Date Revised),07-Jan-11,1.1
TWL,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,23-Apr-15,5
UJAAS,EQ,1,Face Value Split From Rs 10 To Re 1,21-Dec-12,10
UNIPLY,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,25-Jun-18,5
UPL,EQ,2,Bonus 1:2,02-Jul-19,1.5
VAIBHAVGBL,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,07-May-21,5
VAKRANGEE,EQ,1,Bonus 1:1 And Face Value Split From Rs.10/- To Re.1/-,12-Apr-12,20
VAKRANGEE,EQ,1,Bonus 1:1,21-Dec-17,2
VALIANTORG,EQ,10,Bonus 1:1,24-Dec-20,2
VASWANI,EQ,10,Bonus 1:4,29-Sep-11,1.25
VBL,EQ,10,Bonus 1:2,25-Jul-19,1.5
VBL,EQ,10,Bonus 1:2,10-Jun-21,1.5
VBL,EQ,10,Bonus 1:2,06-Jun-22,1.5
VENKEYS,EQ,10,Bonus 1:2,21-Dec-15,1.5
VGUARD,EQ,1,Face Value Split From Rs 10 To Re 1,30-Aug-16,10
VGUARD,EQ,1,Bonus 2:5,15-Mar-17,1.4
VIJIFIN,EQ,1,Fv Splt Frm Rs 10 To Re 1,25-Oct-16,10
VIJIFIN,EQ,1,Bonus 1:10,04-Aug-17,1.1
VIKASECO,EQ,1,Face Value Split From Rs 10/- To Re 1/-,27-Mar-14,10
VIKASECO,EQ,1,Bonus 3 : 2,13-Nov-14,2.5
VINATIORGA,EQ,1,Face Value Split (Sub-Division) - From Rs 2/- Per Share To Rs 1/- Per Share,05-Feb-20,2
VIPIND,EQ,2,Face Value Split From Rs.10/- To Rs.2/-,31-Oct-11,5
VISESHINFO,EQ,1,Face Value Split From Rs 10 To Re 1,03-Jan-13,10
VISESHINFO,EQ,1,Bonus 1 : 10,07-Mar-13,1.1
VISHAL,EQ,5,Bonus 1:2,16-Dec-20,1.5
VISHAL,EQ,5,Bonus 2:1,10-Mar-22,3
VISHWARAJ,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,21-Oct-21,5
VIVIDHA,EQ,1,Bonus 10:1,28-May-15,11
VIVIDHA,EQ,1,Bonus 1:3,30-Mar-16,1.333333333
VIVIMEDLAB,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,06-Apr-16,5
VKSPL,EQ,1,Face Value Split From Rs 10 To Re 1,27-Feb-13,10
VKSPL,EQ,1,Bonus 5:2,03-May-13,3.5
VTMLTD,EQ,1,Face Value Split From Rs.10/- To Re.1/-,16-Aug-12,10
WABAG,EQ,2,Face Value Split From Rs.5/- To Rs.2/-,16-Aug-11,2.5
WABAG,EQ,2,Bonus 1 : 1,26-Mar-15,2
WELSPUNIND,EQ,1,Interim Div - Rs 6/- Per Share + Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,21-Mar-16,10
WHEELS,EQ,10,Bonus 1:1,08-Aug-18,2
WIPRO,EQ,2,Bonus 1:1,13-Jun-17,2
WIPRO,EQ,2,Bonus 1:3,06-Mar-19,1.333333333
WOCKPHARMA,EQ,5,Rights 3:10@ Premium Rs 220 Per Share,08-Mar-22,1.085
XPROINDIA,EQ,10,Bonus 1:2,01-Jul-22,1.5
YESBANK,EQ,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,21-Sep-17,5
ZENSARTECH,EQ,2,Face Value Split (Sub-Division) - From Rs 10 /- Per Share To Rs 2/- Per Share,07-Sep-18,5
ZODIACLOTH,EQ,10,Bonus 1:2,27-Sep-11,1.5
ZYLOG,EQ,5,Face Value Split From Rs 10 To Rs 5,29-Jun-12,2
