symbol,,,,
20MICRONS,,,,
21STCENMGM,Financial ServicesFinancial ServicesCapital MarketsOther Capital Market related Services,,,
3IINFOLTD,,,,
3IINFOTECH,,,,
3MINDIA,,,,
3PLAND,Financial Services,Financial Services,Finance,Investment Company
5PAISA,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
63MOONS,,,,
A2ZINFRA,,,,
AAKASH,,,,
AAREYDRUGS,,,,
AARON,,,,
AARTIDRUGS,,,,
AARTIIND,,,,
AARTISURF,,,,
AARVEEDEN,,,,
AARVI,,,,
AAVAS,Financial ServicesFinancial ServicesFinanceHousing Finance Company,,,
ABAN,,,,
ABB,,,,
ABBOTINDIA,,,,
ABCAPITAL,Financial ServicesFinancial ServicesInsuranceLife Insurance,,,
ABCIL,,,,
ABFRL,,,,
ABFRL-RE,RE,,,
ABGSHIP,,,,
ABHISHEK,,,,
ABIRLANUVO,,,,
ABMINTLLTD,,,,
ABMINTLTD,,,,
ABSLAMC,Financial Services,Financial Services,Capital Markets,Asset Management Company
ABSLBANETF,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme
ABSLNN50ET,ADITYA BIRLA SUN LIFE NIFTY NEXT 50 ETF,,,
ACC,,,,
ACCELYA,,,,
ACCURACY,,,,
ACE,,,,
ACROPETAL,,,,
ACRYSIL,,,,
ADANIENT,,,,
ADANIGREEN,UtilitiesPowerPowerElectric Utilities,,,
ADANIPORTS,,,,
ADANIPOWER,UtilitiesPowerPowerElectric Utilities,,,
ADANITRANS,Utilities,Power,Power,Power - Transmission
ADFFOODS,,,,
ADHUNIK,,,,
ADL,,,,
ADORWELD,,,,
ADROITINFO,,,,
ADSL,,,,
ADVANIHOTR,,,,
ADVANTA,,,,
ADVENZYMES,,,,
AEGISCHEM,,,,
AETHER,,,,
AFFLE,,,,
AFL-RE,RE,,,
AFTEK,,,,
AGARIND,,,,
AGI,,,,
AGLSL,,,,
AGRITECH,,,,
AGRODUTCH,,,,
AGROPHOS,,,,
AGSTRA,,,,
AHLADA,,,,
AHLEAST,,,,
AHLUCONT,,,,
AHLWEST,,,,
AIAENG,,,,
AICHAMP,,,,
AIFL,,,,
AIRAN,,,,
AIROLAM,,,,
AIRTEL-RE,RE,,,
AJANTPHARM,,,,
AJMERA,,,,
AJOONI,,,,
AJRINFRA,,,,
AKASH,,,,
AKG,,,,
AKSHAR,,,,
AKSHARCHEM,,,,
AKSHOPTFBR,,,,
AKZOINDIA,,,,
ALANKIT,,,,
ALBERTDAVD,,,,
ALBK,ALLAHABAD BANK,,,
